name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,religion,genre
Tāj al-Dīn Abū al-Fath Muhammad ibn `Abd al-Karīm ash-Shahrastānī,1086 CE,"Shahristān, [[Greater Khorasan|Khorasan]] (province of [[Persia]])",1153,"Shahristān, Khorasan",,,,,,,,"''[[Al-Milal wa al-Nihal]]'', ''[[w:ar:نهاية الإقدام في علم الكلام (كتاب)|Nihayat al-Iqdam fi 'Ilm al-Kalam]]''",,,,[[Islam]],
Ibn Zaydun<br />ابن زيدون,1003,"[[Córdoba, Spain|Cordoba]], [[Caliphate of Córdoba]]",1071,"[[Seville]], [[Taifa of Seville]]",,Poet,,,,,,,,}},,,
Al-Farghānī,9th century,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",9th century,Egypt }},,,,,,,,,,,,,
Ibn Yunus,950,"[[Fustat]], [[Ikhshidid dynasty|Ikhshidid Emirate of Egypt]], now [[Egypt]]",6 June 1009,"[[Cairo]], [[Fatimid Caliphate|Egyptian Fatimid Caliphate]], now [[Egypt]]",,"[[Astronomer]], [[astrologer]], [[mathematician]], [[philosopher]]",,,,,,* Al-Zij al-Kabir al-Hakimi * Bulugh al-Umniyya * Zij ibn Yunus * Ghayat al-Intifah fi Mareafat al-Da'ir min al-Falak min qabl al-Iritifah }},,,,,
Ibn al-Jazzar,895,"[[Kairouan]], now [[Kairouan Governorate]], [[Tunisia]]",979  (aged 84),"[[Kairouan]], now [[Kairouan Governorate]], [[Tunisia]]",,{{hlist|[[Physician]]|[[Islamic medicine]]}},,,,,,,,,,,
Ibn al-Shatir,1304,"[[Damascus]], [[Mamluk Sultanate]]",1375  (aged 71),,,[[Astronomer]],,,,,,,,,,,
Ibn Hajar al-Asqalani,{{birth date text|18 February 1372}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]","{{death-date and age|2 February 1449|18 February 1372}}<ref name=""scienceofhadith""/>","Cairo, Mamluk Sultanate",,,,,,,,,,,,[[Islam]],
Ibn Abi Usaybi'a,1203,"[[Damascus]], [[Ayyubid Sultanate]]",January 1270 (age 66),"[[Salkhad]], Ayyubid Sultanate<br />{{Small|(in modern Syria)}}",<!-- use only when necessary per [[WP:INFONAT]] -->,[[physician]],,,,,,''Lives of the Physicians'',,<!-- or: | spouses = -->,,,[[Biography]]
Ibn al-Jawzi,c.  510 AH/1116 CE,"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",12 Ramadan 597 AH/16 June 1201 (aged approximately 87),"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",,,,,,,,,,,Yusuf ibn Abd al-Rahman Al-Jawzi,[[Islam]],
Al-Zamakhshari,18 March 1074,"[[Izmukshir|Zamakhshar]], [[Khwarazm]]",12 July 1143,"[[Gurganj]], [[Khwarazmian Empire]]",,,,,,,,,,,,[[Islam]],
Ibn Khaldun<br />{{lang|ar|ابن خلدون}},27 May 1332,"[[Tunis]], [[Hafsid dynasty|Hafsid Sultanate]]",{{death-date and age|17 March 1406|27 May 1332}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]",,,,,,,,,,,,[[Islam]],
Naṣīr al-Dīn al-Ṭūsī,"18 February 1201 <br />[[Tus, Iran|Tus]], [[Greater Khorasan|Khurasan]], [[Khwarazmian dynasty|Khwarazmid Empire]]",,"{{Death date and age|df=yes|1274|06|26|1201|02|18}} <br />[[Al-Kadhimiya Mosque]], [[Kadhimiya]], [[Baghdad]], [[Ilkhanate]]",,,,,,,,,,,,,[[Islam]] <!-- Please note the background of Tusi is constantly vandalized by ips- that is why it is sourced more predominantly here-->| era                = [[Islamic Golden Age]],
Omar Khayyam,"18 May 1048<ref name=""Britannica"">{{cite web |url=https://www.britannica.com/biography/Omar-Khayyam-Persian-poet-and-astronomer  |title=Omar Khayyam: Persian poet and astronomer |last1=Tikkanen|first1=Amy|date=28 February 2023|website=Encyclopaedia Britannica|access-date=5 April 2023}}</ref><ref name=""NasrRazavi"">{{cite book |last1=Nasr |first1=S.H.|last2=Aminrazavi|first2=M.|last3= with the assistance of M. R. Jozi|author1-link=Seyyed Hossein Nasr|author2-link=Mehdi Aminrazavi |title=An Anthology of Philosophy in Persia. Volume I: From Zoroaster to Omar Khayyam |url=https://books.google.com/books?id=O-vWAAAAMAAJ&q=An+Anthology+of+Philosophy+in+Persia.+Volume+I:+From+Zoroaster |date=2008|publisher=I.B. Tauris, in association with The Institute of Ismaili Studies London|location=London & New York|isbn=978-1-84511-541-8}}</ref>","[[Nishapur]], [[Greater Khorasan|Khorasan]], [[Seljuk Empire]]","4 December 1131 (aged 83)<ref name=""Britannica"" /><ref name=""NasrRazavi""/>","Nishapur, Khorasan, [[Seljuk Empire]]",,,,,,,,,,,,,
Avicenna<br />{{transliteration|fa|Ibn Sina}},{{circa|980}},"Afshana, [[Transoxiana]], [[Samanid Empire]]","{{death date and age|1037|6|22|980||df=y}}<ref name=""Islam p. 562"">Encyclopedia of Islam: Vol 1, p. 562, Edition I, 1964, Lahore, Pakistan</ref>","[[Hamadan]], [[Kakuyids|Kakuyid Emirate]]",,,,,,,,{{startplainlist|class=nowrap}} * ''[[The Book of Healing]]'' * ''[[The Canon of Medicine]]'' {{endplainlist}},,,,,
Al-Farghānī,9th century,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",9th century,Egypt }},,,,,,,,,,,,,
Muḥammad ibn Aḥmad Shams al-Dīn Al-Maqdisī <br /> {{Nobold|{{lang|ar|مُحَمَّد ابْن أَحْمَد شَمْس ٱلدِّيْن ٱلْمَقْدِسِي}}}},{{circa|945}}/946 CE,"[[Jerusalem]], [[Abbasid Caliphate]]",991 CE,[[Fatimid Caliphate]],,,,,,,,,,,,,
Ibn an-Nadīm,~320 H (~932 CE),"[[Baghdad]], Abbasid Caliphate","~385 H (~995 CE)<ref name=""brill"">{{EI2|last=Fück |first=J.W. |title=Ibn Al-Nadīm |doi=10.1163/1573-3912_islam_SIM_3317}}</ref>","[[Baghdad]], Abbasid Caliphate",,"Bibliographer, Historian }}",,,,,,[[Al-Fihrist|Kitāb al-Fihrist]],,,,[[Islam]],
al-Jahiz,776,"[[Basra]], [[Abbasid Caliphate]]",December 868/January 869 (aged 92-93),"Basra, Abbasid Caliphate",,,,,,,,,,,,[[Islam]],
Alhazen<br />{{transliteration|ar|Ḥasan Ibn al-Haytham}},{{nowrap |{{birth-date|0965|{{circa}} 965}}  ({{c.|354 [[Islamic calendar|AH]]}})<ref name=Lorch>{{cite encyclopedia |last=Lorch |first=Richard |title=Ibn al-Haytham: Arab astronomer and mathematician |publisher=Encyclopedia Britannica |date=1 February 2017 |url=https://www.britannica.com/biography/Ibn-al-Haytham |access-date=14 January 2022 |archive-date=12 August 2018 |archive-url=https://web.archive.org/web/20180812045403/https://www.britannica.com/biography/Ibn-al-Haytham |url-status=live }}</ref>}},"[[Basra]], [[Buyid Emirate]]",{{nowrap |{{death-date|1040|{{circa}} 1040}} ({{c.|430 AH}})<ref name=Lorch />}} (aged around 75),"[[Cairo]], [[Fatimid Caliphate]]",,,,"''[[Book of Optics]]'', ''[[#Doubts Concerning Ptolemy|Doubts Concerning Ptolemy]]'', [[Alhazen's problem]], [[analysis]],<ref>{{Harvnb|O'Connor|Robertson|1999}}.</ref> [[Catoptrics]],<ref>{{Harvnb|El-Bizri|2010|p=11}}: ""Ibn al-Haytham's groundbreaking studies in optics, including his research in catoptrics and dioptrics (respectively the sciences investigating the principles and instruments pertaining to the reflection and refraction of light), were principally gathered in his monumental opus: Kitåb al-manåóir (The Optics; De Aspectibus or Perspectivae; composed between 1028 CE and 1038 CE).""</ref> [[horopter]], [[Spherical aberration]], [[intromission theory]] of [[visual perception]], [[moon illusion]], [[Experiment|experimental science]], [[scientific method]]ology,<ref>{{Harvnb|Rooney|2012|p=39}}: ""As a rigorous experimental physicist, he is sometimes credited with inventing the scientific method.""</ref> [[Comparative psychology|animal psychology]]<ref>{{Harvnb|Baker|2012|p=449}}: ""As shown earlier, Ibn al-Haytham was among the first scholars to experiment with animal psychology.</ref>",,,,,"[[Physics]], [[mathematics]], [[astronomy]]",,,}},
Ibn Khaldun<br />{{lang|ar|ابن خلدون}},27 May 1332,"[[Tunis]], [[Hafsid dynasty|Hafsid Sultanate]]",{{death-date and age|17 March 1406|27 May 1332}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]",,,,,,,,,,,,[[Islam]],
Al-Tabari,839 CE / 224 AH,"[[Amol]], [[Tabaristan]], Abbasid Caliphate (present-day [[Iran]])",923 CE (aged 84) / 310 AH (aged 86),"[[Baghdad]], Abbasid Caliphate (present-day [[Iraq]])",,,,,,,,,,,,[[Islam]],
Al-Kindi,,,,,,,,,,,,,,,,[[Islam]],
Abū al-Qāsim al-Zahrāwī,{{circa|936}},"[[Medina Azahara]], al-Andalus (near present-day [[Córdoba, Andalusia|Córdoba]], Spain)",{{death year and age|1013|936}},,,{{hlist|Physician}},,{{hlist|Pioneer of [[surgery]]| author of medical encyclopedia {{lang|ar|[[Kitab al-Tasrif]]}}}},,,,,,,,,
al-Battānī,Before 858,"[[Harran]], [[Bilad al-Sham|Islamic Syria]] (modern-day Turkey)",929,"Qasr al-Jiss, near [[Samarra]]",,,,,,,,,,,,,
Ibn al-Shatir,1304,"[[Damascus]], [[Mamluk Sultanate]]",1375  (aged 71),,,[[Astronomer]],,,,,,,,,,,
Naṣīr al-Dīn al-Ṭūsī,"18 February 1201 <br />[[Tus, Iran|Tus]], [[Greater Khorasan|Khurasan]], [[Khwarazmian dynasty|Khwarazmid Empire]]",,"{{Death date and age|df=yes|1274|06|26|1201|02|18}} <br />[[Al-Kadhimiya Mosque]], [[Kadhimiya]], [[Baghdad]], [[Ilkhanate]]",,,,,,,,,,,,,[[Islam]] <!-- Please note the background of Tusi is constantly vandalized by ips- that is why it is sourced more predominantly here-->| era                = [[Islamic Golden Age]],
Omar Khayyam,"18 May 1048<ref name=""Britannica"">{{cite web |url=https://www.britannica.com/biography/Omar-Khayyam-Persian-poet-and-astronomer  |title=Omar Khayyam: Persian poet and astronomer |last1=Tikkanen|first1=Amy|date=28 February 2023|website=Encyclopaedia Britannica|access-date=5 April 2023}}</ref><ref name=""NasrRazavi"">{{cite book |last1=Nasr |first1=S.H.|last2=Aminrazavi|first2=M.|last3= with the assistance of M. R. Jozi|author1-link=Seyyed Hossein Nasr|author2-link=Mehdi Aminrazavi |title=An Anthology of Philosophy in Persia. Volume I: From Zoroaster to Omar Khayyam |url=https://books.google.com/books?id=O-vWAAAAMAAJ&q=An+Anthology+of+Philosophy+in+Persia.+Volume+I:+From+Zoroaster |date=2008|publisher=I.B. Tauris, in association with The Institute of Ismaili Studies London|location=London & New York|isbn=978-1-84511-541-8}}</ref>","[[Nishapur]], [[Greater Khorasan|Khorasan]], [[Seljuk Empire]]","4 December 1131 (aged 83)<ref name=""Britannica"" /><ref name=""NasrRazavi""/>","Nishapur, Khorasan, [[Seljuk Empire]]",,,,,,,,,,,,,
Ibn al-Jazzar,895,"[[Kairouan]], now [[Kairouan Governorate]], [[Tunisia]]",979  (aged 84),"[[Kairouan]], now [[Kairouan Governorate]], [[Tunisia]]",,{{hlist|[[Physician]]|[[Islamic medicine]]}},,,,,,,,,,,
Ibn Hajar al-Asqalani,{{birth date text|18 February 1372}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]","{{death-date and age|2 February 1449|18 February 1372}}<ref name=""scienceofhadith""/>","Cairo, Mamluk Sultanate",,,,,,,,,,,,[[Islam]],
Al-Ghazali,{{circa|1058}},"[[Tus, Iran|Tus]], [[Seljuk Empire]]",{{death date and age|df=y|1111|12|19|1058||}},"Tus, Seljuk Empire",,,,,,,,"''[[The Revival of Religious Sciences]]'', ''[[The Aims of the Philosophers]]'', ''[[The Incoherence of the Philosophers]]'', ''[[Kimiya-yi sa'ādat|The Alchemy of Happiness]]'', ''[[The Moderation in Belief]]'', ''[[The Condensed in Imam Shafi’i’s Jurisprudence]]'', ''[[Al-Mustasfa min 'ilm al-usul|On Legal theory of Muslim Jurisprudence]]''",,,,[[Islam]],
Abu Nasr Farabi,{{circa|870}},"[[Faryab Province|Faryab]], [[Greater Khorasan|Khorasan]] or <br/>[[Farab]], [[Transoxiana]]{{efn-ua|name=Faryab—Farab}}",{{circa|950}},[[Damascus]],,,,,,,,"''[[Kitab al-Musiqi al-Kabir]]'' (""Grand Book of Music""),{{efn-ua|name=Music}} ''Ara Ahl al-Madina al-Fadila'' (""Virtuous City""),{{efn-ua|name=Virtuous}} ''Kitab Ihsa al-Ulum'' (""Enumeration of the Sciences""),{{efn-ua|name=Enumeration}} ''Risalah fi'l-Aql'' (Epistle on the Intellect){{efn-ua|name=Aql}} }}",,,,,
Muḥyī d-Dīn ibn ʿArabī,{{birth date|1165|07|28|df=yes}},"[[Murcia]], [[Taifa of Murcia]], [[Umayyad Caliphate]] (now Murcia, [[Region of Murcia]], [[Spain]])",{{death date and age|1240|11|16|1165|07|28|df=yes}},"[[Al-Salihiyah, Damascus|Salihiyya]], [[Damascus]], [[Ayyubid Sultanate]]","[[al-Andalus|Andalusian]], [[Ayyubid]]","[[Tafsir|Mufassir]], [[Hadith studies|Muhaddtih]], [[Theologian]], [[Philosopher]], [[Academic staff|Academic]], [[Poet]]",,,,,,[[Al-Futuhat al-Makkiyya]],,,"Sa'ad al-Din, Imad al-Din; [[Sadr al-Din al-Qunawi]] (stepson)",[[Islam]],
Ibn Battuta,24 February 1304,"[[Tangier]], [[Marinid sultanate]]",1369 (aged 64–65),"[[Marrakesh]], Marinid sultanate<ref>{{Cite web |first=Romy |last=Roynard |date=22 November 2018 |title=Sur les traces d'Ibn Battuta: le Maroc |url=https://www.nationalgeographic.fr/ibn-battuta/2018/11/sur-les-traces-dibn-battuta-le-maroc |access-date=7 December 2022 |website=National Geographic |language=fr |archive-date=7 December 2022 |archive-url=https://web.archive.org/web/20221207014923/https://www.nationalgeographic.fr/ibn-battuta/2018/11/sur-les-traces-dibn-battuta-le-maroc |url-status=live}}</ref>",,"Traveller, [[Geographer]], [[explorer]], [[scholar]], [[judge]]",,,,,,[[Rihla]],,,,,
Muḥammad ibn Mūsā al-Khwārizmī,{{circa|780}},,"{{circa|850|lk=no}}<ref>{{cite book |last1=Toomer |first1=Gerald J. |author1-link=Gerald J. Toomer |editor1-last=Gillispie |editor1-first=Charles Coulston |title=Dictionary of Scientific Biography |date=1970–1980 |isbn=978-0-684-16966-8|volume=VII |pages=358–365 |chapter=al-Khuwārizmī, Abu Ja'far Muḥammad ibn Mūsā|publisher=Scribner }}</ref><ref>{{cite book |last1=Vernet |first1=Juan |editor1-last=Gibb |editor1-first=H. A. R. |editor2-last=Kramers |editor2-first=J. H. |editor3-last=Lévi-Provençal |editor3-first=E. |editor4-last=Schacht |editor4-first=J. |title=The Encyclopaedia of Islam |date=1960–2005 |publisher=Brill |location=Leiden|volume=IV |pages=1070–1071 |edition=2nd |chapter=Al-Khwārizmī|oclc=399624}}</ref>",,,[[House of Wisdom]] in [[Baghdad]] (appt.&nbsp;{{circa|820|lk=no}}) }},,,,,,,,,,,
Al-Zamakhshari,18 March 1074,"[[Izmukshir|Zamakhshar]], [[Khwarazm]]",12 July 1143,"[[Gurganj]], [[Khwarazmian Empire]]",,,,,,,,,,,,[[Islam]],
Abu Sa'id al-Sijzi,945 CE,"[[Sijistan]], [[Saffarid dynasty]] (modern-day [[Sistan]])<ref name=""Selin2008"">{{cite book|author=Helaine Selin|title=Encyclopaedia of the History of Science, Technology, and Medicine in Non-Western Cultures|url=https://books.google.com/books?id=kt9DIY1g9HYC&pg=PA159|date=12 March 2008|publisher=[[Springer Science & Business Media]]|isbn=978-1-4020-4559-2|pages=159–}}</ref>",1020 CE,,,,,,,,,,,,,,
Ibn Yunus,950,"[[Fustat]], [[Ikhshidid dynasty|Ikhshidid Emirate of Egypt]], now [[Egypt]]",6 June 1009,"[[Cairo]], [[Fatimid Caliphate|Egyptian Fatimid Caliphate]], now [[Egypt]]",,"[[Astronomer]], [[astrologer]], [[mathematician]], [[philosopher]]",,,,,,* Al-Zij al-Kabir al-Hakimi * Bulugh al-Umniyya * Zij ibn Yunus * Ghayat al-Intifah fi Mareafat al-Da'ir min al-Falak min qabl al-Iritifah }},,,,,
al-Khazini,11th century,[[Seljuk Empire]],12th century,,,Scientist,,,,,,,,,,,
Ibn Juljul,944,"[[Córdoba, Andalusia|Cordoba]], [[Andalusia]], now [[Spain]]",994  (aged 50),,,"Muslim [[Physician]], [[Pharmacology|Pharmacologist]]",[[Wiktionary:circa|circa]] 960– 994 }},,,,,,,,,,
Al-Ḥakīm al-Tirmidhī,750 – 760 CE 133 AH – 143 AH,,869 CE 255 AH,,,,,,,,,,,,,,
Ibn Abi Usaybi'a,1203,"[[Damascus]], [[Ayyubid Sultanate]]",January 1270 (age 66),"[[Salkhad]], Ayyubid Sultanate<br />{{Small|(in modern Syria)}}",<!-- use only when necessary per [[WP:INFONAT]] -->,[[physician]],,,,,,''Lives of the Physicians'',,<!-- or: | spouses = -->,,,[[Biography]]
,"986 (AH 376)<ref name=""Brill"">{{cite book |last1=Bosworth |first1=C.E. |last2=van Donzel |first2=E. |last3=Lewis |first3=B. |last4=Pellat |first4=Ch.|title=Encyclopaedia of Islam |volume=V (Khe-Mahi) |publisher=Brill |location=Leiden, Netherlands |date=1986 |isbn=9004057455 |page=526|edition=New }}</ref>",,"30 December 1072 (AH 465)<ref name=""Brill""/>",,,"[[Muhaddith]], [[Tafsir|Mufassir]], [[Scholarly method|Scholar]], [[faqih|Muslim jurist]], [[kalam|Theologian]], [[Sufi]]",,,,,,,,,,[[Islam]],
Muḥammad ibn Aḥmad Shams al-Dīn Al-Maqdisī <br /> {{Nobold|{{lang|ar|مُحَمَّد ابْن أَحْمَد شَمْس ٱلدِّيْن ٱلْمَقْدِسِي}}}},{{circa|945}}/946 CE,"[[Jerusalem]], [[Abbasid Caliphate]]",991 CE,[[Fatimid Caliphate]],,,,,,,,,,,,,
Ibn Zaydun<br />ابن زيدون,1003,"[[Córdoba, Spain|Cordoba]], [[Caliphate of Córdoba]]",1071,"[[Seville]], [[Taifa of Seville]]",,Poet,,,,,,,,}},,,
Al-Farghānī,9th century,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",9th century,Egypt }},,,,,,,,,,,,,
Tāj al-Dīn Abū al-Fath Muhammad ibn `Abd al-Karīm ash-Shahrastānī,1086 CE,"Shahristān, [[Greater Khorasan|Khorasan]] (province of [[Persia]])",1153,"Shahristān, Khorasan",,,,,,,,"''[[Al-Milal wa al-Nihal]]'', ''[[w:ar:نهاية الإقدام في علم الكلام (كتاب)|Nihayat al-Iqdam fi 'Ilm al-Kalam]]''",,,,[[Islam]],
Ibn al-Nafis,{{AH|607|link=y}},"[[Damascus]], [[Ayyubid Sultanate]]",{{AH|687}},"[[Cairo]], [[Mamluk Sultanate]]",,,,,,,,,,,,[[Islam]],
Ibn al-Nafis,{{AH|607|link=y}},"[[Damascus]], [[Ayyubid Sultanate]]",{{AH|687}},"[[Cairo]], [[Mamluk Sultanate]]",,,,,,,,,,,,[[Islam]],
Muḥammad ibn Mūsā al-Khwārizmī,{{circa|780}},,"{{circa|850|lk=no}}<ref>{{cite book |last1=Toomer |first1=Gerald J. |author1-link=Gerald J. Toomer |editor1-last=Gillispie |editor1-first=Charles Coulston |title=Dictionary of Scientific Biography |date=1970–1980 |isbn=978-0-684-16966-8|volume=VII |pages=358–365 |chapter=al-Khuwārizmī, Abu Ja'far Muḥammad ibn Mūsā|publisher=Scribner }}</ref><ref>{{cite book |last1=Vernet |first1=Juan |editor1-last=Gibb |editor1-first=H. A. R. |editor2-last=Kramers |editor2-first=J. H. |editor3-last=Lévi-Provençal |editor3-first=E. |editor4-last=Schacht |editor4-first=J. |title=The Encyclopaedia of Islam |date=1960–2005 |publisher=Brill |location=Leiden|volume=IV |pages=1070–1071 |edition=2nd |chapter=Al-Khwārizmī|oclc=399624}}</ref>",,,[[House of Wisdom]] in [[Baghdad]] (appt.&nbsp;{{circa|820|lk=no}}) }},,,,,,,,,,,
Ibn al-Jawzi,c.  510 AH/1116 CE,"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",12 Ramadan 597 AH/16 June 1201 (aged approximately 87),"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",,,,,,,,,,,Yusuf ibn Abd al-Rahman Al-Jawzi,[[Islam]],
Ibn an-Nadīm,~320 H (~932 CE),"[[Baghdad]], Abbasid Caliphate","~385 H (~995 CE)<ref name=""brill"">{{EI2|last=Fück |first=J.W. |title=Ibn Al-Nadīm |doi=10.1163/1573-3912_islam_SIM_3317}}</ref>","[[Baghdad]], Abbasid Caliphate",,"Bibliographer, Historian }}",,,,,,[[Al-Fihrist|Kitāb al-Fihrist]],,,,[[Islam]],
