academic_advisors,allegiance,alma_mater,alt,alt 2,appointed,author_abbrev_bot,author_abbrev_zoo,author_abbreviation_bot,author_abbreviation_zoo,awards,battles,birth_date,birth_name,birth_place,branch,c,caption,child,children,citizenship,credits,death_cause,death_date,death_place,doctoral_advisor,doctoral_students,education,embed,embed_title,employer,ethnicity,eva_time,evas,father,field,fields,footnotes,honorific prefix,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,insignia,known_for,landscape,mi,mission,missions,module,module2,mother,name,nationality,native_name,native_name_lang,notable_students,occupation,office,order,other_names,p,parents,parliamentarygroup,partner,predecessor,prizes,rank,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retirement,s,selection,serviceyears,signature,spouse,successor,t,term,term_end,term_start,termlabel,thesis_title,thesis_url,thesis_year,time,type,w,website,work_institution,work_institutions,workplaces,wuu,years_active,yearsactive,{{marriage|duke mondy|1968|1972|end,{{marriage|foster johnson|1951|1951|end
,,,,,,,,,,,,{{Birth date|1910|05|12|df=y}},Dorothy Mary Crowfoot,"[[Cairo]], [[Khedivate of Egypt|Egypt]]",,,,,3,,,,{{death date and age|1994|07|29|1910|05|12|df=y}},"[[Ilmington]], [[Warwickshire]], England","[[J. D. Bernal]]<ref name=""dphd2"" />","{{Plainlist| * [[Judith Howard]]<ref>{{cite thesis|degree=DPhil|publisher=University of Oxford|title=The study of some organic crystal structures by neutron diffraction|first=Judith Ann Kathleen|last=Howard|date=1971|url=http://solo.bodleian.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph020590675|id={{EThOS|uk.bl.ethos.459789}}|website=solo.bodleian.ox.ac.uk|oclc=500477155|access-date=24 November 2017|archive-date=6 May 2022|archive-url=https://web.archive.org/web/20220506091404/https://solo.bodleian.ox.ac.uk/primo-explore/fulldisplay?vid=SOLO&docid=oxfaleph020590675&context=L&search_scope=LSCOP_OX|url-status=live}}</ref><ref name=jak/><ref>{{cite news|url=https://www.theguardian.com/education/2006/sep/26/academicexperts.highereducationprofile|first=John|last=Crace | author-link = John Crace (writer) |title=Judith Howard, Crystal gazing: The first woman to head a five-star chemistry department tells John Crace what attracted her to science|newspaper=[[The Guardian]]|date=26 September 2006|archive-url=https://web.archive.org/web/20170817205623/https://www.theguardian.com/education/2006/sep/26/academicexperts.highereducationprofile|archive-date=17 August 2017}}</ref> * [[Michael N. G. James]]<ref name=tree/><ref name=mng>{{cite thesis|degree=DPhil|publisher=University of Oxford|url=http://solo.bodleian.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph020506626|title=X-ray crystallographic studies of some antibiotic peptides|first=Michael Norman George|last=James|author-link=Michael N. G. James|date=1966|id={{EThOS|uk.bl.ethos.710775}}|website=bodleian.ox.ac.uk|oclc=944386483|access-date=27 March 2018|archive-date=14 December 2019|archive-url=https://web.archive.org/web/20191214235553/http://solo.bodleian.ox.ac.uk/primo-explore/fulldisplay?vid=SOLO&docid=oxfaleph020506626&context=L&search_scope=LSCOP_OX|url-status=live}}</ref>}}","{{Plainlist| * {{nowrap|[[Somerville College, Oxford]] ([[Bachelor's degree|BA]])}} * {{nowrap|[[University of Cambridge]] ([[Doctorate|PhD]])}}<!-- neither Somerville College nor Newnham College actually award degrees-->}}",,,,,,,,[[Biochemistry]]<br>[[X-ray crystallography]],,,,,{{postnominals|country=GBR|size=100%|OM|FRS|HonFRSC}},Dorothy Hodgkin Nobel.jpg,,,,,,{{Plainlist| * Development of [[X-ray crystallography|protein crystallography]] * Determining the structure of [[insulin]]}},,,,,,,,Dorothy Hodgkin,British,,,"{{Plainlist| * [[Jack D. Dunitz]] (postdoc)<ref name=tree>{{cite web|url=https://academictree.org/chemistry/peopleinfo.php?pid=52032|title=Chemistry Tree – Dorothy Crowfoot Hodgkin|website=academictree.org|access-date=16 August 2017|archive-date=16 August 2017|archive-url=https://web.archive.org/web/20170816193415/https://academictree.org/chemistry/peopleinfo.php?pid=52032|url-status=live}}</ref> * [[Margaret Thatcher]] (undergraduate)<ref>[[John Blundell (economist)|John Blundell]], ''Margaret Thatcher, A Portrait of The Iron Lady'', 2008, pp. 25–27. Degree student, 1943–1947.</ref> * [[Tom Blundell]] (postdoc)<!-- no reference to hodgkin in the acknowledgements of bludnells phd thesis--><ref>{{cite journal | last1 = Blundell | first1 = T.| author-link1 = Tom Blundell | last2 = Cutfield | first2 = J. | last3 = Cutfield | first3 = S. | last4 = Dodson | first4 = E. | last5 = Dodson | first5 = G. | last6 = Hodgkin | first6 = D. | last7 = Mercola | first7 = D. | last8 = Vijayan | first8 = M. | title = Atomic positions in rhombohedral 2-zinc insulin crystals | journal = Nature | volume = 231 | issue = 5304 | pages = 506–11 | year = 1971 | pmid = 4932997|bibcode = 1971Natur.231..506B |doi = 10.1038/231506a0 | s2cid = 4158731}}</ref> * [[Guy Dodson]] (postdoc)<ref name=frs/> * [[June Lindsey]] (postdoc)}}",,,,,,[[John Winter Crowfoot]]<br>[[Grace Mary Crowfoot|Grace Mary Hood]],,,,{{Plainlist| * [[Royal Medal]] (1956) * [[Nobel Prize in Chemistry]] (1964) * [[Order of Merit]] (1965) * [[Copley Medal]] (1976) * [[Dalton Medal]] (1981) * [[Lomonosov Gold Medal]] (1982)}} }},,,,,,,,,,,,,,{{marriage|[[Thomas Lionel Hodgkin]]|1937|25 March 1982|end=d}},,,,,,,X-ray crystallography and the chemistry of the sterols,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.727110,1937,,,,,,,,,,,,
,,,,,,,,,,,,{{Birth date|1878|11|07|df=yes}},Elise Meitner,"[[Vienna]], Austria-Hungary",,,"Meitner, {{Circa|1960}}",,,{{Plain list| * Austria (until 1938) * [[Statelessness|Stateless]] (1938–49) * Sweden (from 1949) }},,,{{Death date and age|1968|10|27|1878|11|07|df=yes}},"[[Cambridge]], England",,,,,,,,,,,,,,,,,Lise Meitner NatGeo.jpg,,,,,,,,,,,,,,Lise Meitner,,,,,,,,,,,,,,,,,,,,"[[St James' Church, Bramley]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[[Lou Zhicen]],,"[[Peking University Health Science Center|Beijing Medical College]] ([[Bachelor of Medicine|BMed]]){{NoteTag|Peking University Medical School (北京大学医学院) became the independent Beijing Medical College (北京医学院) in 1952. Tu Youyou attended it between 1951 and 1955. Later in 1985 it was renamed Beijing Medical University (北京医科大学), and was returned to [[Peking University]] as [[Peking University Health Science Center]] (北京大学医学部) since 2005.<ref name=""Peking University Health Science Center history"">{{cite web |url = http://english.bjmu.edu.cn/administration/aintroduction/index.htm |archive-url = https://web.archive.org/web/20140810031449/http://english.bjmu.edu.cn/administration/aintroduction/index.htm |url-status = dead |archive-date = 10 August 2014 |title = Introduction |publisher = [[Peking University Health Science Center]] |date = 27 October 2010 |access-date = 10 October 2015 }}</ref> |name = Medical_School }}",,,,,,,,"[[Lasker-DeBakey Clinical Medical Research Award]] (2011)<br />[[Warren Alpert Foundation Prize]] (2015)<br />[[Nobel Prize in Physiology or Medicine]] (2015)<br />[[Highest Science and Technology Award, China|Highest Science and Technology Award]], China (2016)<br />[[Medal of the Republic (China)|Medal of the Republic]], China (2019)",,{{Birth date and age|df=yes|1930|12|30}},,"[[Ningbo, Zhejiang]], [[Republic of China (1912-1949)|Republic of China]]",,屠呦呦,Tu in 2015,yes,,,,,,,,,,,,,,,,,,[[Medicinal chemistry]]<br />[[Chinese herbology]]<br />[[Antimalarial medication]]<br />[[Clinical research]],,,,,"D810 4987 Tu Youyou, medicine (22945001843) (cropped).jpg",,,,,,Discovering [[artemisinin]] and [[dihydroartemisinin]],,{{IPAc-cmn|t|u|2|-|you|1|.|you|1}},,,{{ Infobox Chinese,,,Tu Youyou,,{{nobold|{{lang|i=no|zh|屠呦呦}}}},zh,,,,,,Tú Yōuyōu,,,,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,T'u<sup>2</sup> Yu<sup>1</sup>-yu<sup>1</sup>,,,,China Academy of [[Traditional Chinese Medicine]]<ref>{{cite web |title = Youyou Tu – Facts |url = https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/tu-facts.html |access-date = 12 October 2015 }}</ref>{{NoteTag|The Beijing-based Academy of Traditional Chinese Medicine (中医研究院) was established in 1955 and renamed the China Academy of Traditional Chinese Medicine (中国中医研究院) in 1985 and then the China Academy of Traditional Chinese Medical Sciences (中国中医科学院) in 2005. Tu Youyou has been working at the Academy since 1955. The Academy was subsidiary to the [[Ministry of Health of the People's Republic of China|Ministry of Health]] and is now directly under the [[State Administration of Traditional Chinese Medicine]]. |name = CACMS }},Du<sup>1</sup> Ieu<sup>1</sup> Ieu<sup>1</sup> }} }},,,,
,,[[University of Paris]],,,,,,,,2008 [[Nobel Prize in Physiology or Medicine]],,{{birth date and age|df=y|1947|7|30}},,"Paris, France",,,Barré-Sinoussi in 2008,,,,,,,,,,,,,,,,,,,Virology,}},,,,"Françoise Barré-Sinoussi-press conference Dec 06th, 2008-1.jpg",,,,,,Co-discoverer of HIV,,,,,,,,Françoise Barré-Sinoussi,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- (filename only) -->,,,,,,,,,,,,,,,,,[[Pasteur Institute]],,,,,
,,,,,,,,,,{{Plainlist| *[[Louis-Jeantet Prize for Medicine]] (2015) *[[Breakthrough Prize in Life Sciences]] (2015) *[[Princess of Asturias Awards|Princess of Asturias Award]] (2015) *[[Tang Prize]] in Biopharmaceutical Science (2016) *[[Canada Gairdner International Award]] (2016) *[[Leibniz Prize]] (2016) *[[Pour le Mérite]] (2017) *[[Japan Prize]] (2017) *[[The Novozymes Prize]] (2017) *[[Kavli Prize]] in Nanoscience (2018) *[[Wolf Prize]] in Medicine (2020) *[[Nobel Prize in Chemistry]] (2020) *[[National Inventors Hall of Fame]] (2023)}},,{{birth date and age|1968|12|11|df=y}},Emmanuelle Marie Charpentier,"[[Juvisy-sur-Orge]], France",,,Charpentier in 2015,,,,,,,,Patrice Courvalin,,"[[Pierre and Marie Curie University]] ([[Bachelor of Science|BSc]], [[Master of Science|MSc]], [[Doctor of Philosophy|PhD]])",,,,,,,,,{{Plainlist| *[[Microbiology]] *[[Genetics]] *[[Biochemistry]]}},,,,,Emmanuelle Charpentier.jpg,,,,,,[[CRISPR]]<ref name=Abbott2016 />,,,,,,,,Emmanuelle Charpentier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antibiotic resistance in ''Listeria'' spp,https://aac.asm.org/content/43/9/2103,1995,,,,{{URL |https://www.emmanuelle-charpentier-pr.org/}} }},,,[[University of Berlin]]<br />[[University of Vienna]]<br />[[Umeå University]]<br />[[Max Planck Society]],,,,,
,,,,,,,,,,,,{{birth date and age|1964|2|19}},Jennifer Anne Doudna,"[[Washington, D.C.]], U.S.",,,Doudna in 2023,,,,,,,,,,"{{Plainlist| *[[Pomona College]] ([[Bachelor of Arts|BA]]) *[[Harvard University]] ([[Master of Arts|MA]], PhD) }}",,,,,,,,,,,,,{{postnominals|country=GBR|size=100%|ForMemRS}},Jennifer Doudna by Christopher Michel in 2023 01.jpg,,,,,,,,,,,,,,Jennifer Doudna,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|Tom Griffin|1988||end=divorced}}<br>{{marriage|Jamie Cate|2000}},,,,,,,,,,,,,,,,,,,,,
,,[[University of Oslo]],,,,,,,,,,{{birth year and age|1963}},May-Britt Andreassen,"[[Fosnavåg]], Norway",,,Moser in 2014.<br>({{smaller|Photographer: Henrik Fjørtoft / [[Norwegian University of Science and Technology|NTNU]] Communication Division}}),,2,,,,,,[[Per Andersen]],[[Marianne Fyhn]],,,,,,,,,,"[[Neuroscience]], [[Psychology]]",,,,{{post-nominals|country=GBR|FRS|size=100}},May-Britt Moser 2014.jpg,,,,,,"[[Grid cell]]s, [[Neuron]]s",,,,,,,,May-Britt Moser,Norwegian,,,,,,,,,,,,,[[Louis-Jeantet Prize for Medicine]] (2011)<br />[[Nobel Prize in Physiology or Medicine]] (2014) }},,,,,,,,,,,,,,[[Edvard Moser]] (1985–2016),,,,,,,,,,,,,,,[[Norwegian University of Science and Technology]]<br />[[University of Edinburgh]],,,,,,
,,,,,,,,,,,,{{birth date and age|df=yes|1948|11|26}},Elizabeth Helen Blackburn,"[[Hobart]], [[Tasmania]], Australia",,,Elizabeth Blackburn in 2024,,,Australian and American,,,,,[[Frederick Sanger]]<ref>{{cite web|url=http://nobelprize.org/nobel_prizes/medicine/laureates/2009/|title=Nobel Prize in Physiology or Medicine 2009|publisher=[[Nobel Foundation]]|access-date=5 October 2009}}</ref>,[[Carol W. Greider]],{{Plainlist| * [[University of Melbourne]] (BSc) * [[University of Cambridge]] (PhD)}},,,,,,,,Molecular biology,,,,,{{post-nominals|country=AUS|AC|FRS|FAA|FRSN|size=100}},Elizabeth Blackburn in 2024 by Christopher Michel.jpg,,,,,,,,,,,,,,Elizabeth Blackburn,,,,,,,,,,,,,,{{Plainlist| * [[NAS Award in Molecular Biology]] (1990) * [[Australia Prize]] (1998) * [[Harvey Prize]] (1999) * [[Dickson Prize]] (2000) * [[Dr A.H. Heineken Prize|Heineken Prize]] (2004) * [[Albert Lasker Award for Basic Medical Research|Lasker Award]] * [[Louisa Gross Horwitz Prize]] * [[ASCB Public Service Award]] (2004) * [[Meyenburg Prize]] (2006) * [[L'Oréal-UNESCO Awards for Women in Science|L'Oréal-UNESCO Award for Women in Science]] (2008) * [[Nobel Prize in Physiology or Medicine]] (2009)<BR/>[[American Institute of Chemists Gold Medal|AIC Gold Medal]] (2012)}},,,,,,,,,,,,,,,,,,,,,Sequence studies on bacteriophage ØX174 DNA by transcription,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.449954,1974,,,,{{URL|http://biochemistry2.ucsf.edu/labs/blackburn}} }},"{{Plainlist| * [[University of California, Berkeley]] * [[University of California, San Francisco]] * [[Yale University]] * [[MRC Laboratory of Molecular Biology]] * [[Salk Institute]]}}",,,,,,,
,,,,,,,,,,,,{{birth date and age|1939|6|22|df=yes}},Ada Lifshitz,"[[Jerusalem]],<br/>[[Mandatory Palestine]]",,,Yonath in 2013,,,[[Israel]]i,,,,,"[[Wolfie Traub]], [[F. Albert Cotton]]",,{{ubl|[[Hebrew University of Jerusalem]]|[[Weizmann Institute of Science]]}},,,,,,,,Crystallography,,}},,,,Ada Yonath 2013 January CHF.jpg,200px,,,,,Cryo bio-crystallography,,,,,,,,Ada E. Yonath,,עדה יונת,he,,,,,,,,,,,[[Harvey Prize]] (2002)<br />[[Wolf Prize in Chemistry]] (2006)<br /> [[L'Oréal-UNESCO Awards for Women in Science|L'Oréal-UNESCO Award for Women in Science (2008)]]<br /> [[Albert Einstein World Award of Science]] (2008)<br /> [[Nobel Prize in Chemistry]] (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Weizmann Institute of Science]]<br />[[University of Chicago]],,,,,,,
[[Lou Zhicen]],,"[[Peking University Health Science Center|Beijing Medical College]] ([[Bachelor of Medicine|BMed]]){{NoteTag|Peking University Medical School (北京大学医学院) became the independent Beijing Medical College (北京医学院) in 1952. Tu Youyou attended it between 1951 and 1955. Later in 1985 it was renamed Beijing Medical University (北京医科大学), and was returned to [[Peking University]] as [[Peking University Health Science Center]] (北京大学医学部) since 2005.<ref name=""Peking University Health Science Center history"">{{cite web |url = http://english.bjmu.edu.cn/administration/aintroduction/index.htm |archive-url = https://web.archive.org/web/20140810031449/http://english.bjmu.edu.cn/administration/aintroduction/index.htm |url-status = dead |archive-date = 10 August 2014 |title = Introduction |publisher = [[Peking University Health Science Center]] |date = 27 October 2010 |access-date = 10 October 2015 }}</ref> |name = Medical_School }}",,,,,,,,"[[Lasker-DeBakey Clinical Medical Research Award]] (2011)<br />[[Warren Alpert Foundation Prize]] (2015)<br />[[Nobel Prize in Physiology or Medicine]] (2015)<br />[[Highest Science and Technology Award, China|Highest Science and Technology Award]], China (2016)<br />[[Medal of the Republic (China)|Medal of the Republic]], China (2019)",,{{Birth date and age|df=yes|1930|12|30}},,"[[Ningbo, Zhejiang]], [[Republic of China (1912-1949)|Republic of China]]",,屠呦呦,Tu in 2015,yes,,,,,,,,,,,,,,,,,,[[Medicinal chemistry]]<br />[[Chinese herbology]]<br />[[Antimalarial medication]]<br />[[Clinical research]],,,,,"D810 4987 Tu Youyou, medicine (22945001843) (cropped).jpg",,,,,,Discovering [[artemisinin]] and [[dihydroartemisinin]],,{{IPAc-cmn|t|u|2|-|you|1|.|you|1}},,,{{ Infobox Chinese,,,Tu Youyou,,{{nobold|{{lang|i=no|zh|屠呦呦}}}},zh,,,,,,Tú Yōuyōu,,,,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,T'u<sup>2</sup> Yu<sup>1</sup>-yu<sup>1</sup>,,,,China Academy of [[Traditional Chinese Medicine]]<ref>{{cite web |title = Youyou Tu – Facts |url = https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/tu-facts.html |access-date = 12 October 2015 }}</ref>{{NoteTag|The Beijing-based Academy of Traditional Chinese Medicine (中医研究院) was established in 1955 and renamed the China Academy of Traditional Chinese Medicine (中国中医研究院) in 1985 and then the China Academy of Traditional Chinese Medical Sciences (中国中医科学院) in 2005. Tu Youyou has been working at the Academy since 1955. The Academy was subsidiary to the [[Ministry of Health of the People's Republic of China|Ministry of Health]] and is now directly under the [[State Administration of Traditional Chinese Medicine]]. |name = CACMS }},Du<sup>1</sup> Ieu<sup>1</sup> Ieu<sup>1</sup> }} }},,,,
,,[[Kobe University]] ([[Doctor of Medicine|MD]])<br />[[Osaka City University]] ([[PhD]]),,,,,,,,"[[Meyenburg Prize]] (2007)<br />[[Massry Prize]] (2008)<br />[[Robert Koch Prize]] (2008)<br />[[Shaw Prize]] (2008)<br />[[Gairdner Foundation International Award]] (2009)<br />[[Albert Lasker Award for Basic Medical Research|Albert Lasker Basic Medical Research Award]] (2009) <br /> [[Balzan Prize]] (2010) <br /> [[Kyoto Prize]] (2010) <br /> [[BBVA Foundation Frontiers of Knowledge Award]] (2010)<br />[[Wolf Prize]] (2011)<br />[http://www.isscr.org/McEwen_Award_for_Innovation/5323.htm McEwen Award for Innovation] (2011)<br />Fellow of the [[National Academy of Sciences]]<ref name=""nas"">{{Cite journal | last1 = Nair | first1 = P. | doi = 10.1073/pnas.1121498109 | title = Profile of Shinya Yamanaka| journal = [[Proceedings of the National Academy of Sciences]] | year = 2012 | pmid = 22619323 | pmc =3386100 | bibcode = 2012PNAS..109.9223N | volume=109 | issue=24 | pages=9223–9225| doi-access = free }}</ref> (2012)<br />[[Millennium Technology Prize]] (2012)<br />[[Nobel Prize in Physiology or Medicine]] (2012)",,{{Birth date and age|1962|09|04|mf=y}},,"[[Higashiōsaka, Osaka]], Japan",,,Yamanaka in 2014,,,,,,,,,,,,,,,,,,,"[[Stem cell]] research<ref name=""stem1"">{{Cite journal | last1 = Takahashi | first1 = K. | last2 = Yamanaka | first2 = S. | author-link2 = Shinya Yamanaka| title = Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors | journal = Cell | volume = 126 | issue = 4 | pages = 663–76 | year = 2006 | pmid = 16904174 | doi = 10.1016/j.cell.2006.07.024| hdl = 2433/159777 | s2cid = 1565219 | hdl-access = free }}</ref><ref name=""stem2"">{{Cite journal | last1 = Takahashi | first1 = K. | last2 = Tanabe | first2 = K. | last3 = Ohnuki | first3 = M. | last4 = Narita | first4 = M. | last5 = Ichisaka | first5 = T. | last6 = Tomoda | first6 = K. | last7 = Yamanaka | first7 = S. | author-link7 = Shinya Yamanaka| doi = 10.1016/j.cell.2007.11.019 | title = Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors | journal = Cell | volume = 131 | issue = 5 | pages = 861–872 | year = 2007 | pmid = 18035408 | hdl = 2433/49782 | s2cid = 8531539 | hdl-access = free }}</ref><ref name=""stem3"">{{Cite journal | last1 = Okita | first1 = K. | last2 = Ichisaka | first2 = T. | last3 = Yamanaka | first3 = S. | author-link3 = Shinya Yamanaka| doi = 10.1038/nature05934 | title = Generation of germline-competent induced pluripotent stem cells | journal = Nature | volume = 448 | issue = 7151 | pages = 313–317 | year = 2007 | pmid =  17554338| bibcode = 2007Natur.448..313O | s2cid = 459050 }}</ref>",}},,,,Shinya Yamanaka 20141226.jpg,,,,,,[[Induced pluripotent stem cell]],,,,,,,,Shinya Yamanaka,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,,"[[Kyoto University]]<br />[[Nara Institute of Science and Technology]]<br />[[J. David Gladstone Institutes|Gladstone Institute of Cardiovascular disease]]<br />[[University of California, San Francisco]]",,,,,
,,"[[University of California, San Diego]]",,,,,,,,[[Gairdner Foundation International Award|Gairdner Award]] (2002)<br />[[Nierenberg Prize]] (2007)<br />[[Kistler Prize]] (2008)<br />[[ENI award]] (2008)<br />[[National Medal of Science|Medal of Science]] (2008)<br />[[Dickson Prize]] (2011)<br />[[Leeuwenhoek Medal]]<br />[[Edogawa NICHE Prize]] (2020),,{{birth date and age|1946|10|14|mf=y}},John Craig Venter,"[[Salt Lake City]], Utah, U.S.",,,Venter in 2007,,,,,,,,,,,,,,,,,,,{{ubl|[[DNA]]|[[Human genome]]|[[Metagenomics]]|[[Synthetic genomics]]|[[Shotgun sequencing|Shotgun approach to genome sequencing]]}},,,,,Craigventer2.jpg,,,,,,,,,,,,,,John Venter,,,,,[[Biologist]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|www.jcvi.org}} }},{{ubl|[[State University of New York at Buffalo]]|[[National Institutes of Health]]|[[J. Craig Venter Institute]]}},,,,,,,
,,,,,,,,,,[[Nobel Prize in Physiology or Medicine]] (2023) and [[List of awards and honors received by Katalin Karikó|several others]],,{{birth date and age|1955|1|17|df=y}},,"[[Szolnok]], [[Hungarian People's Republic|Hungary]]",,,Karikó in 2024,,[[Susan Francia]],{{hlist|Hungary|United States}},,,,,,,"[[University of Szeged]] ([[BSc]], [[PhD]])",,,,,,,,,{{plainlist| * [[Biochemistry]] * [[RNA]] technologies}},,,,,Katalin Karikó by Michel 2024 02.jpg,,,,,,[[mRNA]] technology in [[immunology]] and therapies,,,,,,,,Katalin Karikó,,,,,,,,"Kati Kariko<ref name=""Kolata"" />",,,,,,,,,,,,,,,,,,,,Béla Francia,,,,,,,,,,,,,,,,{{plainlist| * [[University of Szeged]] * [[Temple University]] * [[University of Pennsylvania]] * [[BioNTech]]}} }},,,,,
,,[[University of East Anglia]] (BSc)<br/> [[University of Hull ]] (PhD),,,,,,,,[[Albert Medal (Royal Society of Arts)|Albert Medal]] (2021)<br />[[Princess of Asturias Awards|Princess of Asturias Award]] (2021)<br />[[King Faisal Prize]] (2023),,{{Birth year and age|1962|04}},,"[[Kettering |Kettering, Northamptonshire]], England",,,Gilbert in 2021,,3,,,,,,"[[Colin Ratledge]], Dr M. Keenan",,,,,,,,,,,[[Vaccine]]s<ref name=gs/>,,[[Dame]],,{{postnominals|country=GBR|DBE|FRS|size=100%}},Dr.Sarah Gilbert.jpg,,,,,,[[Vaccinology]],,,,,,,,Sarah Gilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studies on lipid accumulation and genetics of Rhodosporidium toruloides,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.381881,1986,,,,{{Official URL}} }},,,"[[University of Oxford]] <br/>[[Vaccitech]]<br /> Delta Biotechnology<br />Leicester Biocentre<br />[[Brewing Industry Research Foundation]]<br />[[Christ Church, Oxford]]",,,,,
,,{{unbulleted list||[[Saarland University]]}},,,,,,,,{{unbulleted list|Princess of Asturias Awards|Georges Köhler Prize|Werner von Siemens Ring|Paul Ehrlich and Ludwig Darmstaedter Prize|Prix Jeantet-Collen for Translational Medicine (2022)|}},,{{Birth date and age|df=yes|1967|3|6}},,"[[Siegen]], [[West Germany]]",,,Özlem Türeci in 2019,,1,"Germany<ref>{{Cite web|date=26 April 2020|title=Über zwei Wissenschaftler, die nicht nur Hoffnung gegen das Virus machen|url=https://www.tagesspiegel.de/gesellschaft/wir-sind-impfstoff-ueber-zwei-wissenschaftler-die-nicht-nur-hoffnung-gegen-das-virus-machen/25771136.html|access-date=17 September 2021|publisher=[[Tagesspiegel]]|language=de|quote=Beide sind Kinder türkischer Einwanderer, deutsche Staatsbürger und weltweit angesehene Wissenschaftler. ''[Both are children of Turkish immigrants, German citizens, and internationally respected scientists]''}}</ref>",,,,,,,,,,,,,,,,,,,,,Ozlem Tureci v1.jpg,,,,,,{{unbulleted list|[[BioNTech]]|[[BNT162b2]] [[vaccine]]}},,,,,,,,Özlem Türeci,,,,,"Physician, scientist, entrepreneur",Chief Medical Officer of BioNTech SE,,,,,,,,,,,,,,,,,,,,,,{{marriage|[[Uğur Şahin]]|2002}},,,2018–present,,,,,,,,,,{{URL|1=biontech.de/de/our-dna/fuehrungsteam|2=Profile at BioNTech}} }},,,,,1992–present,,,
,,"{{unbulleted list|[[University of Cologne]], [[PhD]] in [[Medicine|Human Medicine]]}}",,,,,,,,{{unbulleted list|Merit Award of the American Society of Clinical Oncology|Werner von Siemens Ring|German Cancer Award|[[Order of Merit of the Federal Republic of Germany]]|[[Mustafa Prize]] (2019)|Prix Jeantet-Collen for Translational Medicine (2022)|}},,{{Birth date and age|1965|9|19|df=y}},,"[[İskenderun]], [[Hatay Province]], Turkey",,,Şahin in 2019,,1,"Germany<ref>{{Cite news|date=26 April 2020|title=Über zwei Wissenschaftler, die nicht nur Hoffnung gegen das Virus machen|newspaper=Der Tagesspiegel Online|url=https://www.tagesspiegel.de/gesellschaft/wir-sind-impfstoff-ueber-zwei-wissenschaftler-die-nicht-nur-hoffnung-gegen-das-virus-machen/25771136.html|access-date=2021-09-17|publisher=[[Tagesspiegel]]|language=de|quote=Beide sind Kinder türkischer Einwanderer, deutsche Staatsbürger und weltweit angesehene Wissenschaftler. ''[Both are children of Turkish immigrants, German citizens, and internationally respected scientists]''|last1=Akyün|first1=Hatice}}</ref>",,,,,,,,,,,,,,,,,,,,,Ugur Sahin v1.jpg,,,,,,{{unbulleted list|[[BioNTech]]|[[RNA vaccine]]s|[[BNT162b2]] [[vaccine]]|Personalized cancer immunotherapy}},,,,,,,,Uğur Şahin,,,,,"Oncologist, immunologist",CEO BioNTech SE,,,,,,,,,,,,,,,,,,,,,[[File:Signature of Uğur Şahin.png|130px]],{{marriage|[[Özlem Türeci]]|2002}},,,2008–present,,,,,,,,,,{{URL|1=https://biontech.de/de/our-dna/fuehrungsteam|2=Profile at BioNTech}} }},,,,,1991–present,,,
