1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata6,academic_advisors,allegiance,alma_mater,alongside,alongside1,alongside2,alt,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,bats,battles,bbr,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,blank1,body_discovered,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caps1,caps2,caps3,caps4,caps5,caps6,caps7,caption,career_end,career_number,career_position,career_start,child,children,citizenship,club,clubs1,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,collegeteam,consort,constituency,constituency1,constituency12,constituency13,constituency14,constituency15,constituency2,constituency3,constituency4,constituency5,constituency6,constituency7,constituency8,constituency9,constituency_mp6,constituency_mp9,conviction_status,cor-type,cor-type1,cor-type2,coregency,coronation,coronation1,coronation2,country,criminal_charge,crop_bottom_perc,crop_top_perc,death_cause,death_date,death_place,debut2date,debut2league,debut2team,debut2year,debutdate,debutleague,debutteam,debutyear,denomination,deputy,deputy1,deputy2,deputy3,deputy4,description,desired_width,disappeared_date,disappeared_place,disappeared_status,doctoral_advisor,doctoral_advisors,doctoral_students,draft_pick,draft_round,draft_team,draft_year,dynasty,education,embed,employer,era,ethnicity,eva_time,evas,event,family,father,feast_day,field,fields,filename,finaldate,finalleague,finalteam,finalyear,footnotes,full name,full_name,fullname,genre,genres,goals1,goals2,goals3,goals4,goals5,goals6,goals7,governor3,governor4,governor_general,governor_general3,hangul,hanja,height,height_footnote,height_ft,height_in,high_school,highestranking,highlights,hof_player,hofdate,hoflink,hoftype,hofvote,honorific suffix,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,house-type,image,image_alt,image_size,image_upright,imagesize,influenced,influences,insignia,institute,ipa,ism,ism-ar,issue,issue-link,issue-pipe,issues,j,jr/sr1,jr/sr2,known for,known_for,kunya,kunya-ar,label_name,language,laqab,laqab-ar,last,leader1,leader3,leader4,leader5,leader8,main_interests,major_shrine,majority,majority2,majority3,majority4,majority6,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,managerclubs8,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,manageryears8,medaltemplates,mission,missions,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nasab,nasab-ar,national_team,nationalcaps1,nationalcaps2,nationalgoals1,nationalgoals2,nationality,nationalteam1,nationalteam2,nationalyears1,nationalyears2,native_name,native_name_lang,nickname,nisbah,nisbah-ar,nocat_wdimage,nomen,notable_ideas,notable_students,notable_works,notablework,notableworks,occupation,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,office9,olympics,order,order1,order2,order3,order4,order5,order6,order9,organisation,organization,other names,other_names,otherparty,p,parents,parliament6,parliament9,partner,party,patronage,patrons,pb,period,place of burial,portaldisp,pos,position,posthumous name,posthumous_name,pre-type2,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,premier,premier1,president,president1,president11,president2,president3,president6,president7,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,profession,pronunciation,pseudonym,rank,reg-type,regent,region,regnal name,reign,reign-type,reign-type1,reign-type2,reign-type3,reign1,reign2,reign3,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retired,retirement,role,s,school_tradition,selection,serviceyears,show-medals,signature,signature_alt,signature_size,sport,spouse,spouses,stat1label,stat1value,stat2label,stat2value,stat3label,stat3value,state,state1,state2,statleague,status,status9,style,subject,subjects,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice7,suboffice8,suboffice9,subterm10,subterm11,subterm12,subterm13,subterm14,subterm7,subterm8,subterm9,succession,succession1,succession2,succession3,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,team1,teams,television,term,term10,term11,term12,term13,term14,term15,term4,term5,term6,term7,term_end,term_end1,term_end10,term_end11,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label1,term_label10,term_label2,term_label3,term_label4,term_start,term_start1,term_start10,term_start11,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,throws,time,title,title7,titles,titlestyle,totalcaps,totalgoals,training,trial,type,unit,venerated_in,vicepresident,vicepresident1,vicepresident3,website,weight,weight_lb,work_institution,work_institutions,workplaces,works,years active,years1,years2,years3,years4,years5,years6,years7,years_active,youthclubs1,youthclubs2,youthyears1,youthyears2,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end,{{tlit|zh|[[tan yankai]]|i,{{tlit|zh|t. v. soong|i
,,,,,,,,,,,,,,[[Stanford University]] ([[Bachelor of Engineering|B.S.E]])<ref name=forbesbill>{{cite news|url=https://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Azim-Premji_1UFS.html|title=Forbes List Directory|date=3 November 2009|work=[[Forbes]]|access-date=7 December 2009| archive-url= https://web.archive.org/web/20091129090553/http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Azim-Premji_1UFS.html| archive-date= 29 November 2009 | url-status= live}}</ref>,,,,,,,,,,,,,,,,{{birth date and age|df=yes|1945|7|24}},Azim Hashim Premji,"[[Bombay]], [[Bombay presidency]], [[British India]]<br>{{small|(Present-day [[Mumbai]], [[Maharashtra]], [[India]])}}<ref name=ebr>{{cite news|last=G. Craine|first=Anthony|title=Azim Premji|url=https://www.britannica.com/EBchecked/topic/710892/Azim-Premji|work=[[Encyclopædia Britannica]]|date=14 May 2010|access-date=10 August 2021}}</ref>",,,,,,,,,,,,,,,,,,"Premji at the [[World Economic Forum]], 2013",,,,,,"[[Rishad Premji]], Tariq Premji<ref>{{cite web|url=http://www.rediff.com/getahead/2007/jun/07rishad.htm|title=What you didn't know about Rishad Premji|date=7 June 2007|work=[[Rediff.com]]|access-date=7 December 2009}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Padma Vibhushan]] (2011),,,,Azim H. Premji World Economic Forum 2013.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azim Premji,,,,,,,,,,,,,,,,,,,,,,,,,Founder Chairman of [[Wipro]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signature of Azim Premji.svg }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date |1892|01|26|mf=yes}},,"[[Atlanta, Texas]], U.S.",,,,,,,"[[Lincoln Cemetery (Cook County)|Lincoln Cemetery]], Cook County, Illinois }}",,,,,,,,,,,Coleman in 1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plane crash,{{Death date and age|1926|04|30|1892|01|26|mf=yes}},"[[Jacksonville, Florida]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bessie Coleman in 1923.jpg,,,,,,,,,,,,,,,,,,,,[[First African-American]] and [[Native Americans in the United States|Native American]] female aviator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bessie Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{marriage|Claude Glenn|1917|end=separated soon after<ref name=""marri"">{{cite web |author= Roni Morales|title= Bessie Coleman – Aviator|url=http://www.rootsweb.ancestry.com/~txecm/bessie_coleman.htm|date=November 1, 2014 |publisher= [[Rootsweb]]|access-date=December 17, 2017}}</ref>}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=yes|1623|6|19}},,"[[Clermont-Ferrand]], France",,,,,,,,,,,,,,,,,,Portrait of Pascal in 1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1662|8|19|1623|6|19}},"[[Paris]], France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[17th-century philosophy]],,,,,,[[Étienne Pascal]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaise Pascal Versailles.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{hlist |Theology |Mathematics |Philosophy |[[Physics]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaise Pascal,,,,,,,,,,,,,,,,,,,,{{vunblist |[[Probability theory]] | [[Negative binomial distribution|Pascal distribution]]<br>[[Pascal's wager]] |[[Pascal's triangle]] |[[Pascal's law]] |[[Pascal's rule]]|[[Pascal's theorem]] |[[Pascal's calculator]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Western philosophy]],,,,,,,,,,,[[Marguerite Périer]] (niece) <br>[[Jacqueline Pascal]] (sister) <br /> [[Gilberte Périer]] (sister),,,,,,,,,,,{{ubl|[[Cartesianism]]|[[Jansenism]]|[[Fideism]]}},,,,Blaise Pascal signature.svg }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1874|8|27|df=y}},,"[[Cologne]], [[German Empire]]",,,,,,,,,,,,,,,,,,Bosch {{circa|1929}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1940|4|26|1874|8|27|df=y}},"[[Heidelberg]], [[Nazi Germany]]",,,,,,,,,,,,,,,,,,,,[[Johannes Wislicenus]]<ref>[https://academictree.org/chemistry/tree.php?pid=51928 Entry at Academic Tree]</ref>,,,,,,,,[[Technische Universität Berlin]]<br>[[Leipzig University]],,,,,,,,,,,[[Chemistry]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Bosch.jpg,,,,,,,,,,,,,,,,,,,,[[Bosch reaction]]<br>[[Urea#Production|Bosch–Meiser urea process]]<br>[[Haber–Bosch process]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Liebig Medal]] (1919) * {{nowrap|[[Werner von Siemens Ring]] (1924)}} * {{nowrap|[[Nobel Prize in Chemistry]] (1931)}} * [[Wilhelm Exner Medal]] (1932) * {{nowrap|[[Goethe Prize]] (1939)}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[BASF]], [[IG Farben]]",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,{{plainlist| * [[Braunschweig University of Technology|Collegium Carolinum]] * [[University of Göttingen]] * [[University of Helmstedt]] (PhD) }},,,,Portrait of Carl Friedrich Gauss 1840 by Jensen,,,,,,,,,,,,{{birth date|df=yes|1777|4|30}},Johann Carl Friedrich Gauss,"[[Braunschweig|Brunswick]], Principality of Brunswick-Wolfenbüttel, {{awrap|Holy Roman Empire}}",,,,,,,,,,,,,,,,,,"Portrait by [[Christian Albrecht Jensen]], 1840 (copy from Gottlieb Biermann, 1887)<ref>{{cite journal | author-last = Axel D. Wittmann | author-first = Inna V. Oreshina | title = On Jensen's Paintings of C. F. Gauss | journal = Mitteilungen der Gauss-Gesellschaft | issue = 46 | pages = 57–61 | year = 2009 | url = http://www.gauss-gesellschaft-goettingen.de/mitteil.html#2009}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1855|2|23|1777|4|30}},"[[Göttingen]], Kingdom of Hanover, {{awrap|German Confederation}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mathematics, Astronomy, Geodesy, Magnetism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Friedrich Gauss 1840 by Jensen.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Friedrich Gauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Charles Dickens,,,,,,,,,,,,{{birth date|df=yes|1812|2|7}},Charles John Huffam Dickens,"[[Portsmouth]], [[Hampshire]], England",,,,,,,,,,,,,,,,,,"Portrait by [[Jeremiah Gurney]], {{c.}} 1867–1868",,,,,,{{ublist|[[Charles Dickens Jr.]]|[[Mary Dickens]]|[[Kate Perugini]]|[[Walter Landor Dickens]]|[[Francis Dickens]]|[[Alfred D'Orsay Tennyson Dickens]]|[[Sydney Smith Haldimand Dickens]]|[[Henry Fielding Dickens]]|[[Dora Annie Dickens]]|[[Edward Dickens]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1870|6|9|1812|2|7}},"[[Higham, Kent]], England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dickens Gurney head.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Dickens,,,,,,,,,,,,,,,,,,,,,,,,{{cslist|''[[The Pickwick Papers]]''|''[[Oliver Twist]]''|''[[Nicholas Nickleby]]''|''[[A Christmas Carol]]''|''[[David Copperfield]]''|''[[Bleak House]]''|''[[Little Dorrit]]''|''[[A Tale of Two Cities]]''|''[[Great Expectations]]''}},Novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Ellen Ternan]] (1857–1870, his death)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Poets' Corner]], Westminster&nbsp;Abbey, England",{{coord|51|29|57|N|0|7|39|W|display=inline}},,,,,,,,,,Charles Dickens Signature.svg,}},,,{{marriage|[[Catherine Dickens|Catherine Thomson Hogarth]]|1836|1858|end={{abbr|sep.|separated}}}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vice Chairman,,,,,,{{tlit|zh|[[Sun Fo]]|i=no}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official portrait, 1955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔣中正總統玉照.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiang Kai-shek,,,,,,,,,,,,,{{langn|zh-hant|蔣介石}},zh-Hant,,,,,,,,,,,,[[Chairman of the National Government of China]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{tlit|zh|[[Lin Sen]]|i=no}},,,,,,,,,,,,,,,{{tlit|zh|[[T. V. Soong]]|i=no}},{{ubl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,''Position abolished'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 May 1948<br />Acting: 1 August{{snd}}10 October 1943,,,,,,,,,,,,,,,,,,10 October 1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no}},no}} }}
,,,,,,,,,,,,,,,,,,,,,,"[[Neiman Marcus Fashion Award]], 1957",,,,,,,,{{Birth date|df=yes|1883|8|19}}<ref>{{cite web|url=https://time.com/3994196/coco-chanel-1883/|title=How Poverty Shaped Coco Chanel|magazine=[[Time (magazine)|Time]]|date=19 August 2015|access-date=15 March 2020|archive-date=8 November 2020|archive-url=https://web.archive.org/web/20201108125226/https://time.com/3994196/coco-chanel-1883/|url-status=live}}</ref>,Gabrielle Bonheur Chanel,"[[Saumur]], France",,,,,,,,,,,,,,,,,,Chanel in 1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1971|1|10|1883|8|19}},"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{#ifexist: Albert Chanel|[[Albert Chanel]]}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coco Chanel in Los Angeles, 1931 (cropped).jpg",,,,,,,,,,,,,,,,,,,,{{ubl|Double-C logo|Chanel suit|[[Little black dress]]|The Chanel bag|[[Chanel No. 5]]}},,,[[Chanel]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{#ifexist: Eugénie Jeanne Devolle|[[Eugénie Jeanne Devolle]]}},,Coco Chanel,,,,,,,,,,,,,,,,,,,,,,,,,{{Hlist|[[Hatmaking|Milliner]]|dressmaker|fashion designer}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Bois-de-Vaux Cemetery]], [[Lausanne]], Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1934|3|5}},,"[[Tel Aviv]], [[Mandatory Palestine|British Mandate of Palestine]]",,,,,,,,,,,,,,,,,,Kahneman in 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2024|3|27|1934|3|5}},"[[Nunningen]], Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{indented plainlist| * [[Psychology]] * Economics }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Kahneman (3283955327) (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Kahneman,,,,,,,,"American, Israeli",,,,,דניאל כהנמן,he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date and age|df=y|1926|5|8}},David Frederick Attenborough,"[[Isleworth]], Middlesex, England",,,,,,,,,,,,,,,,,,Attenborough in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{indented plainlist| * [[Clare College, Cambridge]] ([[Master of Arts (Oxford, Cambridge and Dublin)|MA]]) * [[London School of Economics]] }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Knight Bachelor|Sir]],{{post-nominals|country=GBR|size=100%|OM|GCMG|CH|CVO|CBE|FRS|FSA|FRSA|FLS|FZS|FRSGS|FRSB|HonFLI}},,,,,Weston Library Opening by John Cairns 20.3.15-139 David Attenborough.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Attenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951–present,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1960|10|30|df=yes}},,"[[Lanús]], Argentina",,,,,,,,,,,166,40,36,188,26,5,30,Maradona after winning the [[1986 FIFA World Cup]] with [[Argentina national football team|Argentina]],,,,,,,,,[[Argentinos Juniors]],[[Boca Juniors]],[[FC Barcelona|Barcelona]],[[SSC Napoli|Napoli]],[[Sevilla FC|Sevilla]],[[Newell's Old Boys]],[[Boca Juniors]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2020|11|25|1960|10|30|df=yes}},"[[Dique Luján]], Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego Armando Maradona<ref>{{cite web |title=Decreto 936/2020 - Declárase Duelo Nacional en todo el territorio de la República Argentina |url=https://s3.arsat.com.ar/cdn-bo-001/suplementos/2020/11/25/primera-seccion_25-11-2020_suplemento-1.pdf |website=[[Boletín Oficial de la República Argentina]] |access-date=23 September 2025 |archive-url=https://web.archive.org/web/20201125233124/https://s3.arsat.com.ar/cdn-bo-001/suplementos/2020/11/25/primera-seccion_25-11-2020_suplemento-1.pdf |archive-date=25 November 2020 |language=Spanish |date=25 November 2020 |url-status=live}}</ref>,,,,116,28,22,81,5,0,7,,,,,,,1.65 m<ref>{{cite web |title=Small is beautiful |url=https://www.fifa.com/news/small-beautiful-1055719 |website=[[FIFA]] |date=8 May 2009 |access-date=2 December 2020 |archive-url=https://web.archive.org/web/20200813091036/https://www.fifa.com/news/small-beautiful-1055719 |archive-date=13 August 2020 |url-status=dead}}</ref>,,,,,,,,,,,,,,,,,,,,,Argentina celebrando copa (cropped).jpg <!--See talk page before changing image-->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Deportivo Mandiyú]],[[Racing Club de Avellaneda|Racing Club]],[[Argentina national football team|Argentina]],[[Al-Wasl F.C.|Al-Wasl]],[[Deportivo Riestra]] (assistant),[[Fujairah FC|Fujairah]],[[Dorados de Sinaloa]],[[Gimnasia de La Plata]],1994,1995,2008–2010,2011–2012,2013–2017,2017–2018,2018–2019,2019–2020,{{MedalSport|Men's [[Association football|football]]}} {{Medal|Country|{{fb|ARG}}}} {{MedalCompetition|[[FIFA World Cup]]}} {{Medal|W|[[1986 FIFA World Cup|1986 Mexico]]|}} {{medal|RU|[[1990 FIFA World Cup|1990 Italy]]|}} {{MedalCompetition|[[Copa América]]}} {{Medal|3rd|[[1989 Copa América|1989 Brazil]]|}} {{MedalCompetition|[[Finalissima]]}} {{Medal|W|[[1993 Artemio Franchi Cup|1993 Argentina]]|}} {{MedalCompetition|[[FIFA U-20 World Cup]]}} {{Medal|W|[[1979 FIFA World Youth Championship|1979 Japan]]|}} {{MedalCompetition|[[South American U-20 Championship]]}} {{Medal|RU|[[1979 South American U-20 Championship|1979 Uruguay]]|}},,,{{Infobox person|embed=yes,,,,,,,,Diego Maradona,,,,15,91,8,[[List of international goals scored by Diego Maradona|34]],,[[Argentina U20]],[[Argentina national football team|Argentina]],1977–1979,1977–1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Attacking midfielder]], [[second striker]]<!--Do not delete second striker, it's well referenced-->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego Maradona sig.svg }} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,259,,,,,,,,,,,,,,,,,1976–1981,1981–1982,1982–1984,1984–1991,1992–1993,1993–1994,1995–1997,,Estrella Roja,[[Argentinos Juniors]],1967–1969,1969–1976,,,,,
