1blankname,1namedata,allegiance,alma_mater,alongside,alongside1,alongside2,alt,associated_acts,awards,background,battles,battles_label,birth_date,birth_name,birth_place,branch,burial_place,caps1,caps10,caps11,caps12,caps13,caps14,caps15,caps16,caps17,caps18,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caps9,caption,children,club-update,clubnumber,clubs1,clubs10,clubs11,clubs12,clubs13,clubs14,clubs15,clubs16,clubs17,clubs18,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,clubs9,commands,country,currentclub,death_date,death_place,deputy1,draws,fideid,full_name,fullname,genre,goals1,goals10,goals11,goals12,goals13,goals14,goals15,goals16,goals17,goals18,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goals9,height,honorific_prefix,honorific_suffix,image,image_size,imagesize,influenced,influences,ko,label,laterwork,losses,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,medaltemplates,memorials,module,monuments,movement,name,nationalcaps1,nationalcaps2,nationalcaps3,nationalcaps4,nationalcaps5,nationalgoals1,nationalgoals2,nationalgoals3,nationalgoals4,nationalgoals5,nationality,nationalteam-update,nationalteam1,nationalteam2,nationalteam3,nationalteam4,nationalteam5,nationalyears1,nationalyears2,nationalyears3,nationalyears4,nationalyears5,native_name,native_name_lang,nickname,no contests,ntupdate,occupation,office,office1,office3,order,origin,otherparty,party,pcupdate,peakranking,peakrating,placeofburial,placeofburial_coordinates,placeofburial_label,position,predecessor,predecessor1,predecessor2,predecessor3,president,president1,primeminister,primeminister1,primeminister2,rank,reach,realname,reign,reign1,reign2,reign3,relations,residence,resting_place,servicenumber,serviceyears,signature,spouse,spouse-type,spouses,style,succession,succession1,succession2,succession3,successor,successor1,successor2,successor3,successor5,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,title,total,totalcaps,totalgoals,unit,upright,website,weight,wins,years1,years10,years11,years12,years13,years14,years15,years16,years17,years18,years2,years3,years4,years5,years6,years7,years8,years9,years_active,youthclubs1,youthclubs2,youthclubs3,youthyears1,youthyears2,youthyears3,youthyears4
,,,,,,,,,,,,,{{birth date and age|df=yes|1978|11|28}},,"[[Bukhoro]], [[Uzbek SSR]], [[Soviet Union]]",,,80,27,29,8,70,9,2,,,,7,20,7,3,11,111,22,12,,,,,[[FK Buxoro]],[[FC Tobol|Tobol]],[[FC Zhetysu|Zhetysu]],[[Dubai Club]],[[FC Irtysh Pavlodar|Irtysh Pavlodar]],[[FK Buxoro]],[[Navbahor Namangan]],,,,[[PFC CSKA Moscow|CSKA Moscow]],[[FC Torpedo-ZIL Moscow|Torpedo-ZIL Moscow]],[[FK Buxoro]],[[FK Andijan]],[[FC Neftekhimik Nizhnekamsk|Neftekhimik Nizhnekamsk]],[[FC Tobol|Tobol]],[[FC Bunyodkor|Bunyodkor]],→   [[FK Samarqand-Dinamo]] (loan),,,[[FC Bukhara|Bukhara]] (Manager),,,,,,,,,29,16,18,0,22,3,0,,,,0,0,4,1,4,55,8,4,1.83 m,,,,,,,,,,,,[[FC Bukhara|Bukhara]],[[FC Sogdiana Jizzakh|Sogdiana Jizzakh]],[[FC Bukhara|Bukhara]],,,,,2017–2018,2019–2022,2023–,,,,,,,,,,Ulugbek Bakayev,53,,,,,14,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2001–2014,,,,,,,,,}},,,,,,,,,,,,,,,[[Forward (association football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997–2000,2010,2011,2011,2012–2014,2014,2015,,,,2001,2001–2002,2003,2003,2003,2004–2007,2008–2009,2009,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|2002|12|28}}<ref>[https://globalsportsarchive.com/people/soccer/alibek-davronov/347304/ Player Profil globalsportsarchive.com]</ref>,,"[[Qarshi]], [[Uzbekistan]]",,,66,,,,,,,,,,,,,,,,,,,,,2,[[FC Nasaf|Nasaf]],,,,,,,,,,,,,,,,,,,,[[FC Nasaf|Nasaf]],,,,,,,Alibek Faxriddin o'g'li Davronov,,6,,,,,,,,,,,,,,,,,,1.83 m,,,,,,,,,,,,,,,,,,,,,,,,,,{{MedalSport|Men's [[Association football|football]]}} {{Medal|Country|{{Fb|UZB}}}} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|W|[[2025 CAFA Nations Cup|2025 Tajikistan–Uzbekistan]]|[[2025 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{Medal|Competition|[[Asian Games]]}} {{Medal|Bronze|[[2022 Asian Games|2022 Hangzhou]]|[[Football at the 2022 Asian Games – Men|Team]]}} {{Medal|Competition|[[AFC U-23 Asian Cup]]}} {{Medal|S|[[2024 AFC U-23 Asian Cup|2024 Qatar]]|[[2024 AFC U-23 Asian Cup squads#Uzbekistan|Team]]}} }},,,,,Alibek Davronov,3,11,2,,,0,1,0,,,,,[[Uzbekistan national under-20 football team|Uzbekistan U19]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,,2019,2022–,2022–,,,,,,,17 June 2023 (UTC),,,,,,,,,10 August 2025,,,,,,[[Defender (association football)|Defender]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021–,,,,,,,,,,,,,,,,,,,[[FC Nasaf|Nasaf]],,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1966|10|23}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Zairovich Zabirov,,,,,,,,,,,,,,,,,,,,{{height|m=1.75}},,,,,,,,,,,,,,,,,,,2005 | managerclubs1 = [[Navbahor Namangan]],2008–2010 | managerclubs2 = [[Qizilqum Zarafshon]],2013 | managerclubs3 = [[FK Andijan]] (assistant coach),2013 | managerclubs4 = [[Qizilqum Zarafshon]],,,,,,,,,Rustam Zabirov,2 | nationalgoals1 = 1,1 | nationalgoals2 = 1,,,,,,,,,,,,,,,,1992 | nationalteam1 = [[Uzbekistan national football team|Uzbekistan]],1998 | nationalteam2 = [[Tajikistan national football team|Tajikistan]],,,,,,,,}},,,,,,,,,,,,,,,[[Forward (football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987–1988 | clubs1 = [[Vakhsh Qurghonteppa]] | caps1 = 54 | goals1 = 23,2000 | clubs10 = [[Sogdiana Jizzakh]] | caps10 = 10 | goals10 = 2,2000–2001 | clubs11 = [[Vasco S.C.]] | caps11 = ? | goals11 = 1,,,,,,,,1989–1991 | clubs2 = [[Pamir Dushanbe]] | caps2 = 38 | goals2 = 3,1991–1992 | clubs3 = [[Navbahor Namangan]] | caps3 = 65 | goals3 = 34,1992–1993 | clubs4 = [[SV Meppen]] | caps4 = 10 | goals4 = 0,1993–1994 | clubs5 = [[SG Betzdorf]] | caps5 = ? | goals5 = ?,1995 | clubs6 = [[FC Shinnik Yaroslavl|Shinnik Yaroslav]]  | caps6 = 8 | goals6 = 0,1995 | clubs7 = [[Navbahor Namangan]] | caps7 = 14 | goals7 = 1,1996–1997 | clubs8 = [[FC Rubin Kazan|Rubin Kazan]] | caps8 = 56 | goals8 = 15,1997–1998 | clubs9 = Zarafshon Navoi | caps9 = 40 | goals9 = 19,,,,,| youthclubs1 =,,,
,,,,,,,,,,,,,{{Birth date and age|1989|1|17|df=y}},,"[[Tashkent]], Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oybek Sakai Kilichev,,,,,,,,,,,,,,,,,,,,{{convert|1.75|m|ftin|0|abbr=on}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oybek Kilichev,2| nationalgoals1 = 0,3| nationalgoals2 = 0,,,,,,,,,,,[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national football team|Uzbekistan]],,,,2009,2012,,,,,,,,,,,,,,,,,"23:41, 19 December 2020 (UTC) }}",,,,,,[[Midfielder (association football)|Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010      | clubs1 = [[Pakhtakor Tashkent FK|Pakhtakor]] | caps1 = 2 | goals1 = 0,2019      | clubs10= [[FK Andijan|Andijan]] | caps10= 17 | goals10= 2,2020      | clubs11= [[PFC Lokomotiv Tashkent|Lokomotiv Tashkent]] | caps11= 5 | goals11= 0,2020–2021     | clubs12= [[FC Qizilqum Zarafshon|Qizilqum Zarafshon]] | caps12= 9 | goals12= 2,,,,,,,2011      | clubs2 = [[FK Andijan|Andijan]] | caps2 = 18 | goals2 = 2,2012–2014 | clubs3 = [[Pakhtakor Tashkent FK|Pakhtakor]] | caps3 = 55 | goals3 = 5,2014      | clubs4 = → [[Al-Shaab CSC|Al-Shaab]] (loan) | caps4 = 11 | goals4 = 1,2015      | clubs5 = [[Paykan F.C.|Paykan]] | caps5 = 12 | goals5 = 0,2016      | clubs6 = [[Pakhtakor Tashkent FK|Pakhtakor]] | caps6 = 6 | goals6 = 0,2016      | clubs7 = [[Perak FA]] | caps7 = 9 | goals7 = 0,2017      | clubs8 = [[PFC Navbahor Namangan|Navbahor Namangan]] | caps8 = 22 | goals8 = 2,2018      | clubs9 = [[FC AGMK|AGMK]] | caps9 = 11 | goals9 = 0,,,,,2007 | youthclubs1 = [[Traktor Tashkent]],2008–2009 | youthclubs2 = [[Pakhtakor Tashkent FK|Pakhtakor]],,
,,,,,,,,,,,,,{{Birth date and age|1997|1|23}},,"[[Navoiy]], Uzbekistan<ref>{{Cite web|url=https://championat.asia/oz/news/superligada-deyarli-bir-xil-ikkita-supergol-urgan-doston-ibragimov-bilan-suhbat|title=Superligada deyarli bir xil ikkita supergol urgan Doston Ibragimov bilan suhbat|website=CHAMPIONAT.asia}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,[[FC G'ijduvon|G'ijduvon]],,,,,,,Doston Ibragimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doston Ibragimov,,,,,,,,,,,,,,,,,,2015–2016  | nationalteam1 = [[Uzbekistan national under-19 football team|Uzbekistan U19]] | nationalcaps1 = 4  | nationalgoals1 = 2,2019–2020  | nationalteam2 = [[Uzbekistan national under-23 football team|Uzbekistan U23]] | nationalcaps2 = 4  | nationalgoals2 = 2,2019–      | nationalteam3 = [[Uzbekistan national football team|Uzbekistan]]              | nationalcaps3 = 3  | nationalgoals3 = 0,,,,,,,10 July 2019 }},,,,,,,,,"18:18, 13 July 2021 (UTC)",,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017–2020 | clubs1 = [[Pakhtakor Tashkent FK|Pakhtakor]]               | caps1 = 17 | goals1 = 1,,,,,,,,,,2019      | clubs2 = → [[FK Buxoro|Buxoro]] (loan)                     | caps2 = 12 | goals2 = 3,2019–2020 | clubs3 = → [[FC Qizilqum Zarafshon|Qizilqum]] (loan)       | caps3 = 18 | goals3 = 0,2020      | clubs4 = → [[FC Chigatoy|Chigatoy]] (loan)                 | caps4 = 17 | goals4 = 0,2021–     | clubs5 = [[FC G'ijduvon|G'ijduvon]]                        | caps5 = 3  | goals5 = 0 <!-- https://pfl.uz/ru/players/1980 -->,,,,,,,,,2010–2011 | youthclubs1 = [[FC Qizilqum Zarafshon|Qizilqum]],2011–2012 | youthclubs2 = Mashal Academy,2013–2016 | youthclubs3 = [[Pakhtakor Tashkent FK|Pakhtakor]],2016–2017 | youthclubs4 = [[FC Dinamo Samarqand|Samarqand]]
,,,,,,,,,,,,,{{birth date and age|1986|5|10|df=yes}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,51,,,,,,,,,,16,30,53,168,27,35,,,,,,23,[[Sogdiana Jizzakh]],,,,,,,,,,[[Navbahor Namangan|Navbahor]],[[Sogdiana Jizzakh]],[[FK Andijan|Andijan]],[[FC Bunyodkor|Bunyodkor]],[[FC Pakhtakor|Pakhtakor]],[[FC AGMK|AGMK]],,,,,[[FC AGMK|AGMK]],,,,,,,Akmal Shorakhmedov,,1,,,,,,,,,,0,3,0,7,0,0,,,{{height|m=1.81}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akmal Shorakhmedov,34,,,,,0,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2010&ndash;,,,,,,,,,"21:14, 9 May 2019 (UTC) }}",,,,,,,,,26 October 2020,,,,,,[[Defender (association football)|Right back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005&ndash;2006,,,,,,,,,,2007,2008,2009&ndash;2010,2011–2017,2018,2019–,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1987|11|25}},,"[[Namangan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union]]",,,86,,,,,,,,,,22,64,67,64,5,7,,,Akhmedov with [[Uzbekistan national football team|Uzbekistan]] in 2019,,,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],,,,,,,,,,→ [[FC Anzhi Makhachkala|Anzhi Makhachkala]] (loan),[[FC Anzhi Makhachkala|Anzhi Makhachkala]],[[FC Krasnodar|Krasnodar]],[[Shanghai SIPG F.C.|Shanghai SIPG]],→ [[Tianjin TEDA F.C.|Tianjin TEDA]] (loan),[[Cangzhou Mighty Lions F.C.|Cangzhou Mighty Lions]],,,,,,,,,,,,Odil Alimzhanovich Akhmedov,,35,,,,,,,,,,0,3,5,9,0,0,,,1.80 m<ref>{{Cite web |title=Odil Akhmedov. FC Krasnodar Official site |url=https://fckrasnodar.ru/en/team/squad/player/?person_id=55945 |access-date=2025-07-29 |website=fckrasnodar.ru}}</ref>,,,Akhmedov with (National team) in 2019 (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odil Akhmedov <br>{{small|Одил Ахмедов}},108,,,,,21,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2007–2021,,,,,,,,,15 June 2021 }},,,,,,,,,26 December 2021,,,,,,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,52,,,,,,2006–2011,,,,,,,,,,2011,2011–2014,2014–2017,2017–2021,2020,2021,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|df=y|2004|09|18}},,"[[Tashkent]], Uzbekistan",,,,,,,,,,,,,,,,,,,,,Abdusattorov in 2025,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,,,,,,14204118 }},,,,,,,,,,,,,,,,,,,,,,,,,GM Nodirbek Abdusattorov (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nodirbek Abdusattorov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. 4 (April 2024),2783 (October 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Grandmaster (chess)|Grandmaster]] (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|1991|09|18|df=y}},,"[[Tashkent]], Uzbekistan",,,9,,,,,,,,,,99,84,4,,,,,,,,,99,[[FK Dinamo Samarqand|Dinamo Samarqand]],,,,,,,,,,[[PFK Metallurg Bekabad|Metallurg Bekabad]],[[FC Bunyodkor|Bunyodkor]],[[FC AGMK|AGMK]],,,,,,,,[[FC AGMK|AGMK]],,,,,,,,,0,,,,,,,,,,35,13,0,,,,,,{{convert|1.85|m|abbr=on}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shahzodbek Nurmatov,3,,,,,0,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2014–,,,,,,,,,31 March 2015 }},,,,,,,,,"23:10, 17 May 2019 (UTC)",,,,,,[[Forward (association football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,2012–2015,2016–2018,2019–,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1996|7|7}},,"[[Kokand]], [[Uzbekistan]]",,,91,,,,,,,,,,47,19,25,33,1,,,,Ashurmatov in 2022 }},,5 October 2025,5,[[FC Bunyodkor|Bunyodkor]],,,,,,,,,,[[Gwangju FC|Gwangju]],[[Gangwon FC|Gangwon]],[[PFC Navbahor Namangan|Navbahor Namangan]],[[FC Rubin Kazan|Rubin Kazan]],[[Esteghlal F.C.|Esteghlal]],,,,,,[[Esteghlal F.C.|Esteghlal]],,,,,,,,,5,,,,,,,,,,2,1,2,2,0,,,,1.88 m,,,Rustamjon Ashurmatov (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry | {{UZB}} }} {{MedalSport  | Men's [[Association football|football]]}} {{MedalCompetition|[[AFC U-23 Championship]]}} {{MedalGold|[[2018 AFC U-23 Championship|2018 China]]|[[2018 AFC U-23 Championship squads#Uzbekistan|Team]]}},,,,,Rustam Ashurmatov,6,6,12,43,,1,0,1,1,,,5 June 2025,[[Uzbekistan national under-17 football team|Uzbekistan U17]],[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,2013,2015,2017–2018,2017–,,,,,,,,,,,,,,,,,,,,,[[Defender (association football)|Centre back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015–2019,,,,,,,,,,2019–2020,2021–2022,2022,2023–2025,2025–,,,,,[[FC Bunyodkor-2|Bunyodkor-2]],,,,,,
,,,,,,,,,,,,,{{birth date and age|1994|03|6|df=yes}},,"[[Dushanbe]], [[Tajikistan]]<ref name=""globalsportsarchive.com""/>",,,28,0,43,18,,,,,,,,12,4,,4,8,3,12,,,27 December 2024,62,[[FC Istiklol|Istiklol]],[[FC Neftchi Kochkor-Ata|Neftchi Kochkor-Ata]],[[FK Khujand|Khujand]],[[Eskhata Khujand]],[[Regar-TadAZ Tursunzoda]],,,,,,→ [[FK Khujand|Khujand]] (loan),[[FC Dinamo Brest|Dinamo Brest]],[[FC Istiklol|Istiklol]],[[FK Khujand|Khujand]],[[Saif SC|Saif]],[[FK Khujand|Khujand]],[[FC Qizilqum Zarafshon|Qizilqum Zarafshon]],[[Eskhata Khujand|Eskhata]],,,[[Regar-TadAZ Tursunzoda]],,,,,,,"Jahongir Narzulloevich Ergashev<ref name=""globalsportsarchive.com"">{{Cite web|url=https://globalsportsarchive.com/people/soccer/cahongir-ergasev/56331/|title=Çahongir Ergaşev – Soccer player profile & career statistics – Global Sports Archive}}</ref>",,10,0,14,10,,,,,,,,1,1,,0,2,0,6,{{height|m=1.74|precision=0}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jahongir Ergashev <br /> Джахонгир Эргашев,11 | nationalgoals1 = 1,4  | nationalgoals2 = 1,35 | nationalgoals3 = 4,,,,,,,,,16 November 2021 }},,,,,,2013–2014 | nationalteam1 = [[Tajikistan national under-21 football team|Tajikistan U21]],2014      | nationalteam2 = [[Tajikistan national under-23 football team|Tajikistan U23]],2013–     | nationalteam3 = [[Tajikistan national football team|Tajikistan]],,,,,,,,,,,,,,,,,,,,,,[[Forward (association football)|Striker]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012–2015,2022,2022–2023,2024,2025–,,,,,,2015–2016,2016,2017,2017–2019,2019–2020,2020,2021,2021,,[[FK Khujand|Khujand]],[[CSKA Pomir Dushanbe|CSKA Pomir]],[[FC Istiklol|Istiklol]],2011,2012,2012,
,,,,,,,,,,,,,{{birth date and age|1997|7|1|df=yes}},,"[[Fergana]], [[Uzbekistan]]",,,18,,,,,,,,,,65,11,68,44,,,,,,,,3,[[PFK Metallurg Bekabad|Metallurg Bekabad]],,,,,,,,,,[[FC Bunyodkor|Bunyodkor]],→ [[PFK Metallurg Bekabad|Metallurg Bekabad]] (loan),[[PFC Lokomotiv Tashkent|Lokomotiv Tashkent]],[[FC Sogdiana Jizzakh|Sogdiana Jizzakh]],,,,,,,[[FC Sogdiana Jizzakh|Sogdiana Jizzakh]],,,,,,,Islom Kobilov,,1,,,,,,,,,,4,2,1,2,,,,,{{convert|1.83|m|ftin|0|abbr=on}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islom Kobilov,,13,,,,,0,,,,,,[[Uzbekistan national under-23 football team|Uzbekistan U-23]],[[Uzbekistan national football team|Uzbekistan]],,,,,2018–,,,,,,,,27 January 2022 (UTC) }},,,,,,,,,11 August 2025,,,,,,[[Defender (association football)|Defender]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,2017–2020,2017,2021–2023,2024–,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1984|5|12}},,"[[Shakhrisabz]], [[Uzbek SSR]], [[Soviet Union]]",,,3,,,,,,,,,,8,,2,3,,,,,,,,,[[Pakhtakor Tashkent]],,,,,,,,,,[[Qizilqum Zarafshon]],[[Pakhtakor Tashkent]],[[Lokomotiv Tashkent]],[[FC Shurtan Guzar|Shurtan]],,,,,,,[[FC Shurtan Guzar]],,,,,,,Temur Oltiboevich Juraev,,0,,,,,,,,,,0,0,0,0,,,,,{{convert|1.90|m|ftin|0|abbr=on}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temur Juraev,12,,,,,0,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2006–2011,,,,,,,,,19 May 2011 }},,,,,,,,,11 April 2015,,,,,,[[Goalkeeper (association football)|goalkeeper]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,2003,2004–2013,2014,2015–,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|df=yes|1995|6|13}},,"[[Oltiariq]], [[Uzbekistan]]",,,2,14,0,,,,,,,,24,7,33,17,16,9,19,12,,,,44,[[FC Neftchi Fergana|Neftchi Fergana]],[[FC Khorazm|Khorazm]],[[Lee Man FC|Lee Man]],,,,,,,,[[Kokand 1912]],[[PFK Metallurg Bekabad|Metallurg Bekabad]],[[FC Neftchi Fergana|Neftchi Fergana]],[[Renofa Yamaguchi FC|Renofa Yamaguchi]],[[Busan IPark]],[[Chongqing Liangjiang Athletic]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[Esteghlal Khuzestan F.C.|Esteghlal Khuzestan]],,,[[Lee Man FC|Lee Man]],,,,,,,"Dostonbek Tursunov<ref name=""AFC""/>",,0,0,0,,,,,,,,2,1,1,0,1,2,2,0,1.87 m<ref>{{cite web |url=https://www.fifadata.com/document/FWYC/2015/pdf/FWYC_2015_SquadLists.pdf |title=FIFA U-20 World Cup New Zealand 2015 – List of Players: Uzbekistan |website=[[FIFA]] |page=24 |date=19 June 2015 |access-date=30 December 2018}}</ref>,,,,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry|{{UZB}}}} {{MedalSport|Men's [[Association football|football]]}}{{MedalCompetition|[[AFC U-23 Championship]]}} {{MedalGold|[[2018 AFC U-23 Championship|2018 China]]|[[2018 AFC U-23 Championship squads#Uzbekistan|Team]]}} }},,,,,Dostonbek Tursunov,5,5,24,8,,0,0,4,1,,,,[[Uzbekistan national under-19 football team|Uzbekistan U19]],[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,2014,2015,2017–2018,2018–2021,,,,,,12 October 2021 (UTC),,,,,,,,,9 August 2025,,,,,,[[Defender (association football)#Centre-back|Centre back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013–2015,2025,2025–,,,,,,,,2016,2017,2017–2018,2019,2020,2021–2022,2022–2023,2024,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1996|06|22|df=yes}},,"[[Chirakchi]], Uzbekistan",,,4,,,,,,,,,,2,14,53,95,43,12,28,0,Shukurov in 2024,,8 March 2025,63,[[FK Mash'al Mubarek|Mash'al Mubarek]],,,,,,,,,,[[FC Bunyodkor|Bunyodkor]],[[FK Buxoro|Buxoro]],[[FC Bunyodkor|Bunyodkor]],[[Sharjah FC|Sharjah]],[[Fatih Karagümrük S.K.|Fatih Karagümrük]],[[Kayserispor]],[[Al-Fayha FC|Al Fayha]],[[Baniyas Club|Baniyas]],,,[[Baniyas Club|Baniyas]],,,,,,Otabek Gayratovich Shukurov,,,0,,,,,,,,,,0,2,5,10,1,0,0,0,1.82 m,,,Otabek Shukurov.jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry | {{UZB}} }} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|RU|[[2023 CAFA Nations Cup|2023 Kyrgyzstan–Uzbekistan]]|[[2023 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{Medal|W|[[2025 CAFA Nations Cup|2025 Tajikistan–Uzbekistan]]|[[2025 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{MedalSport  | Men's [[Association football|football]]}}{{MedalCompetition|[[AFC U-16 Championship]]}} {{MedalGold|[[2012 AFC U-16 Championship|2012 Iran]]|[[2012 AFC U-16 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-19 Championship]]}} {{MedalBronze|[[2014 AFC U-19 Championship|2014 Myanmar]]|[[2014 AFC U-19 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-23 Championship]]}} {{MedalGold|[[2018 AFC U-23 Championship|2018 China]]|[[2018 AFC U-23 Championship squads#Uzbekistan|Team]]}} }},,,,,Otabek Shukurov,4,5,3,75,,0,0,0,8,,,"21:49, 12 April 2025 (UTC)",[[Uzbekistan national under-17 football team|Uzbekistan U17]],[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,2013,2015,2016,2016–,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,2015,2015,2016–2018,2018–2022,2022–2023,2024,2024–2025,2025–,,,,,,,,
