1blankname,1namedata,academic_advisors,agent,alias,allegiance,alma mater,alma_mater,alongside,alongside1,alt,appointer1,appointer2,associated_acts,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,baptised,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caption,child,children,church,citizenship,consort,constituency12,constituency13,constituency14,constituency15,cor-type,cor-type1,coregency,coronation,coronation1,current_member_of,death_cause,death_date,death_place,denomination,deputy,disappeared_date,disappeared_place,disappeared_status,discipline,discography,doctoral_advisor,doctoral_students,dynasty,education,embed,embed_title,employer,era,family,father,feast_day,field,fields,flourished,footnotes,full name,genre,genres,governor4,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,image,image_alt,image_size,image_upright,imagesize,influenced,influences,institute,instrument,issue,issue-link,issue-pipe,issues,known_for,label,landscape,language,last,list_of_works,main_interests,major_shrine,mi,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nationality,native_name,native_name_lang,nickname,nocat_wdimage,nomen,notable_family,notable_ideas,notable_students,notable_works,notableworks,occupation,occupations,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,ordained,order,order1,order2,order3,order4,order8,organisation,organizations,origin,other_names,p,parents,partner,party,past_member_of,patronage,patrons,period,posthumous_name,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president3,primeminister1,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,pseudonym,rank,region,regnal name,reign,reign-type1,reign1,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,role,s,school_tradition,serviceyears,signature,signature_alt,signature_size,significant_advance,significant_design,significant_projects,spouse,spouses,style,subject,subjects,suboffice3,subterm3,succession,succession1,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,term10,term11,term12,term13,term14,term15,term_end,term_end1,term_end11,term_end12,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label3,term_label4,term_start,term_start1,term_start11,term_start12,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,titles,training,venerated_in,vicepresident,vicepresident1,w,website,work_institutions,workplaces,works,years_active,yearsactive
,,,,,,,[[University of Copenhagen]] ([[Doctor of Philosophy|PhD]]),,,Photograph showing the head and shoulders of a man in a suit and tie,,,,,,,,,,,,,{{Birth date|1885|10|07|df=yes}},Niels Henrik David Bohr,"[[Copenhagen]], Denmark",,,,,,,,,Bohr in 1922,,,,,,,,,,,,,,,,,{{Death date and age|1962|11|18|1885|10|07|df=yes}},"Copenhagen, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niels Bohr.jpg,,,,,,,,,,,,,{{Plain list|,,,,,,,,,,,,,,,,,Niels Bohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Assistens Cemetery (Copenhagen)|Assistens Cemetery]], Copenhagen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1920|7|25|df=yes}},Rosalind Elsie Franklin,"[[Notting Hill]], London, England",,,,,,,,,Franklin with a [[microscope]] in 1955,,,,,,,,,,,,,,,,,{{death date and age|1958|4|16|1920|7|25|df=y}},"[[Chelsea, London|Chelsea]], London, England",,,,,,,,,{{ubl|[[John Thomas Finch|John Finch]]|[[Kenneth Holmes]]}},,"[[Newnham College, Cambridge]]<br />[[University of Cambridge]] ([[PhD]])",,,,,,,,,{{Plainlist|,,,,,,,,,,,,,,Rosalind Franklin (retouched).jpg,,,,,,,,,,,,,{{ubl|[[Structure of DNA]]|Fine structure of coal and [[graphite]]|Structures of viruses}},,,,,,,,,,,,,,,,,Rosalind Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Coord|51.5447|-0.2399|type:landmark|display=inline}}-->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The physical chemistry of solid organic colloids with special reference to coal,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.599181,1945,,,,,,,,,{{Plainlist|,,,,
,,,,,,,[[Chatham University]] ([[Bachelor of Arts|BA]])<br />[[Johns Hopkins University]] ([[Master of Science|MS]]),,,,,,,,,,,,,,,,{{birth date|1907|05|27|mf=y}},Rachel Louise Carson,"[[Springdale, Pennsylvania]], U.S.",,,,,,,,,Carson in 1943,,,,,,,,,,,,,,,,,{{death date and age|1964|04|14|1907|05|27|mf=y}},"[[Silver Spring, Maryland]], U.S.<ref name=""lkwdpl"" />",,,,,,,,,,,,,,,,,,,,,,,,[[Nature writing]],,,,,,,,,,Rachel-Carson.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel Carson,,,,,,,,,,,''[[Under the Sea Wind]]'' (1941)<br />''[[The Sea Around Us]]'' (1951)<br />''[[The Edge of the Sea]]'' (1955)<br />''[[Silent Spring]]'' (1962),"[[Marine biologist]], author and environmentalist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937–1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Marine biology]], [[ecology]], [[pesticide]]s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1880|10|15|df=y}},Marie Charlotte Carmichael Stopes,"{{Nowrap|[[Edinburgh]], Scotland}}",,,,,,,,,Stopes in 1918,,,,,,,,,,,,,,,,,{{death date and age|1958|10|2|1880|10|15|df=y}},"[[Dorking]], Surrey, England",,,,,,,,,,,{{Plainlist|,,,,,,,,[[Palaeobotany]],,,,,,,,,,,,,,,Marie Stopes at the time of the marriage with Mr. H.V. Roe. Wellcome M0017375 (cropped).jpg,,,,,,,,,,,,,[[birth control|Family planning]] and [[eugenics]],,,,,,,,,,,,,,,,,Marie Stopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[University of Manchester]],,,,
,,,,,,,,,,,,,,,,,,,,,,,{{circa}} 350–370 AD,,"[[Alexandria]], Province of Egypt, Eastern Roman Empire",,,,,,,,,,,,,,,,,,,,,,,,,,"March 415 AD (aged 45–65)<ref name=""MacTutorMath""/>","Alexandria, Province of Egypt, Eastern Roman Empire",,,,,,,,,,,,,,,[[Ancient philosophy]],,,,,,,,,,,,,,,,,,,<!-- Do not add Hipatia67.jpg without gaining consensus on talk page; See talk page -->,,,,,,,,,,,,,,,,,,,{{hlist |[[Mathematics]] |[[Astronomy]]}},,,,,,,,,,,Hypatia,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Western philosophy]],,,,,,,,,,,,,,,[[Neoplatonism]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,[[University of Erlangen–Nuremberg]] ([[PhD]])<br>[[University of Göttingen]] ([[Habilitation|Hab.]]),,,Portrait of Emmy Noether in her 20s with her hand resting on a chair,,,,,,,,,,,,,{{birth date|1882|03|23|df=y}},Amalie Emmy Noether,"[[Erlangen]], Kingdom of Bavaria, German Empire",,,,,,,,,Noether {{circa|1900–1910}},,,,,,,,,,,,,,,,,{{death date and age|1935|04|14|1882|03|23|df=y}},"[[Bryn Mawr, Pennsylvania]], US",,,,,,,,[[Paul Gordan]],{{plainlist|,,,,,,,,,,,[[Mathematics]] and [[physics]],,,,,,,,,,,,,,Emmy Noether (3x4 cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmy Noether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{lang|de|Über die Bildung des Formensystems der ternären biquadratischen Form}} (On Complete Systems of Invariants for Ternary Biquadratic Forms),https://gdz.sub.uni-goettingen.de/id/PPN243919689_0134,1907,,,,,,,,,,{{unbulleted list|[[University of Göttingen]]|[[Bryn Mawr College]]}},,,
,,,,,United States,,,,,,,,,,,,{{plainlist|,,,,,,{{birth date|1906|12|9}},Grace Brewster Murray,"[[New York City]], [[New York (state)|New York]], U.S.",,[[United States Navy]],,,,,,,Hopper in 1984,,,,,,,,,,,,,,,,,{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",,,,,,,,[[Øystein Ore]],,,"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,Military career,,,,,,,Computer science<br>Mathematics,,,,,,,,,,,,,,"Commodore Grace M. Hopper, USN (covered) head and shoulders crop.jpg",,,,,,,,,,,,,{{plainlist|,,,,,,,,,{{Infobox military person |embed=yes,{{Infobox scientist | embed=yes,,,,,,,Grace Hopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Rear admiral (United States)#Rear admiral (lower half)|Rear admiral (lower half)]]}},,,,,,,,,,,,,[[Arlington National Cemetery]],,,,1943–1986,,,,,,,{{marriage|Vincent Hopper|1930|1945|end=div}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Types of Irreducibility Criteria,https://www.proquest.com/docview/301795588/,1934,,,,,,,,,,{{plainlist|,,,
,,,,,,,,,,,,,,,,,{{plainlist|,,,,,,{{birth date|1912|5|31|mf=yes}},,"[[Liuhe, Taicang]], [[Jiangsu]], China",,,,,,,,,Chien-Shiung Wu performing experiments,yes,Vincent Yuan ({{lang-zh|t=袁緯承|labels=no}}),,Republic of China<br />United States,,,,,,,,,,,,,{{Death date and age|1997|2|16|1912|5|31|mf=yes}},"[[New York City]], U.S.",,,,,,,,[[Ernest Lawrence]],,,"{{ublist | [[National Central University]] ([[Bachelor of Science|BS]])| [[University of California, Berkeley]] ([[PhD]])}}",,,,,,,,[[Physics]],,,,,,,,,,,,,,,Chien-shiung Wu (1912-1997) C.jpg,,,,,,,,,,,,,{{plainlist|,,,,,,,,{{IPAc-cmn|wu|2|-|j|ian|4|.|x|iong|2}},{{Infobox Chinese,,,,,,,,Chien-Shiung Wu,,{{nobold|吳健雄}},zh-hant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wú Jiànxióng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吴健雄,,,,,,,,,{{marriage|[[Luke Chia-Liu Yuan]]|1942}},,,,,,,,,,,,,,,,,,,,,,,,{{linktext|吳|健|雄}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I. The Continuous X-Rays Excited by the Beta-Particles of {{chem2|^{32}P}}. II. Radioactive Xenons,https://journals.aps.org/pr/abstract/10.1103/PhysRev.59.481,1940,,,,,,,Wu<sup>2</sup> Chien<sup>4</sup>-Shiung<sup>2</sup>,,"{{ublist | Institute of Physics, [[Academia Sinica]] | [[University of California, Berkeley]] | [[Smith College]] | [[Princeton University]] | [[Columbia University]] | [[Zhejiang University]] }}",,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1878|11|07|df=yes}},Elise Meitner,"[[Vienna]], Austria-Hungary",,,,,,,,,"Meitner, {{Circa|1960}}",,,,{{Plain list|,,,,,,,,,,,,,{{Death date and age|1968|10|27|1878|11|07|df=yes}},"[[Cambridge]], England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lise Meitner NatGeo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lise Meitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[St James' Church, Bramley]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Headshot of Jane Goodall. She is an elderly woman with tied-up light hair.,,,,,,,,,,,,,{{Birth date|1934|4|3|df=y}},Valerie Jane Morris-Goodall,"London, England",,,,,,,,,Goodall in 2015,,,,,,,,,,,,,,,,,{{Death date and age|2025|10|1|1934|4|3|df=y}},"Los Angeles, California,<!--Links not needed per MOS:OVERLINK--> US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dame<!--Links not needed per MOS:OVERLINK-->,{{post-nominals|country=GBR|DBE|size=100%}},,,,Deputy Secretary Higginbottom Poses for a Photo With Dr. Jane Goodall and the State Department's Global Health Diplomacy Director Jordan in Washington (22365513310) (2) (cropped 2).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jane Goodall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,{{Plainlist |,,,,,,{{Birth date|1901|12|16}},,"[[Philadelphia]], [[Pennsylvania]], U.S.",,,,,,,,,Mead in 1948,,[[Mary Catherine Bateson]],,,,,,,,,,,,,,,{{Death date and age|1978|11|15|1901|12|16}},"New York City, U.S.",,,,,,,,,,,{{Plainlist|,,,,,,,,,,,,,,,,,,,,,,,Margaret Mead (1901-1978).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margaret Mead,,,,,,,,,,,,[[Anthropologist]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Jeremy Steig]] (nephew),,,,,,,,,,,,,,,,,{{Plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Portrait of Linnaeus on a brown background with the word ""Linne"" in the top right corner",,,,,,,,,,,,,"{{Birth date|df=yes|1707|5|23}}<ref group=note name=birthdate>Carl Linnaeus was born in 1707 on 13 May ([[Swedish calendar]]) or 23 May according to the [[Gregorian calendar]]. According to the [[Julian calendar]] he was born on 12 May. (Blunt 2004, p. 12)</ref>",,"[[Råshult]], Sweden",,,,,,,,,1775 portrait,,7,,,,,,,,,,,,,,,{{Death date and age|df=yes|1778|1|10|1707|5|23}},"[[Linnaeus' Hammarby|Hammarby]], Sweden",,,,,,,,,,,,,,,,,,,,{{Plain list|,,,,,,,,,,,,,,"Carl von Linné, 1707-1778, botanist, professor (Alexander Roslin) - Nationalmuseum - 15723 (cropped).tif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Uppsala Cathedral]],{{Coord|59|51|29|N|17|38|00|E|region:SE-C_type:landmark|display=inline}},,,,,,,,,,,,{{marriage|[[Sara Elisabeth Moræa]]|1739}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1833|10|21|df=yes}},Alfred Bernhard Nobel,"[[Stockholm]], Sweden",,,,,,,,,Nobel in 1896,,,,,,,,,,,,,,,,,{{Death date and age|1896|12|10|1833|10|21|df=yes}},"[[Sanremo]], Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred Nobel3.jpg,,,,,,,,,,,,,{{Plain list|,,,,,,,,,,,,,"[[Nobel Monument]], <br/> New York City, U.S.",,,,Alfred Nobel,,,,,,,,,,,,{{hlist|Chemist|Engineer|Inventor|Businessman}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Norra begravningsplatsen]], [[Solna]], Sweden",{{Coord|59|21|24.52|N|18|1|9.43|E|region:SE-AB_type:landmark}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{unbulleted list |[[Moscow State University]] |[[Lebedev Physical Institute]]}},,,,,,,,,,,,,,,,{{birth date|1921|5|21|df=yes}},<!-- only use if different from name -->,"Moscow, Russian SFSR",,,,,,,,,Sakharov in March 1989,,,,,,,,,,,,,,,,,{{death date and age|1989|12|14|1921|5|21|df=yes}},"Moscow, Soviet Union",,,,,,,,[[Igor Tamm]],,,,,,,,,,,[[Physics]],,,,,,,,,,,,,,,RIAN archive 25981 Academician Sakharov.jpg,,,,,,,,,,,,,{{unbulleted list |[[Soviet atomic bomb project#RDS-37|RDS-37]] |[[Soviet nuclear program]] | [[Tsar Bomba]] | [[Explosively pumped flux compression generator]]| [[Electromagnetic pulse]] |[[Tokamak]] |[[Muon-catalyzed fusion]]|[[Baryogenesis#Sakharov conditions|Sakharov conditions]]| [[Induced gravity]]|[[Proton decay]]|[[Dissident|Dissidence]]|[[Human rights defender|Human rights activism]]| [[Sakharov Prize]]}},,,,,,,,,,,,,,,,,Andrei Sakharov,,{{nobold|Андрей Сахаров}},ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list,,,,,,,,,,,,,Vostryakovskoye Cemetery,,,,,,,,,,,,,{{ubl|Klavdia Vikhireva (1943–1969; her death)|[[Yelena Bonner]] (1972–1989; his death)}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Теория ядерных переходов типа 0→0,https://elib.biblioatom.ru/text/saharov_nauchnye-trudy_1995/p427/,1947,,,,,,,,,,,,,
,,,,,,,,,,"Feynman, smiling",,,,,,,,,,,,,{{birth date|1918|5|11|mf=y}},Richard Phillips Feynman,"New York City,<!--Links not needed per MOS:OVERLINK--> U.S.",,,,,,,,,Feynman {{c.|1965}},,,,,,,,,,,,,,,,,{{death date and age|1988|2|15|1918|5|11|mf=y}},"Los Angeles, California,<!--Links not needed per MOS:OVERLINK--> U.S.",,,,,,,,,,,,,,,,,,,,[[Theoretical physics]],,,,,,,,,,,,,,Richard Feynman Nobel.jpg{{!}}border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Feynman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Mountain View Cemetery, Altadena|Mountain View Cemetery and Mausoleum]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist|,,,
,,,,,,,[[University of Munich]]<br>[[University of Göttingen]],,,,,,,,,,,,,,,,{{birth date|df=y|1901|12|5}},Werner Karl Heisenberg,"[[Würzburg]], [[Kingdom of Bavaria]], [[German Empire]]",,,,,,,,,Heisenberg in 1933,,,,,,,,,,,,,,,,,{{death date and age|df=y|1976|2|1|1901|12|5}},"[[Munich]], [[Bavaria]], [[West Germany]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|ForMemRS}},,,,"Bundesarchiv Bild183-R57262, Werner Heisenberg.jpg",,,,,,,,,,,,,{{collapsible list|title={{nobold|''See list''}},,,,,,,,,,,,,,,,,Werner Heisenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Munich Waldfriedhof]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1887|8|12|df=yes}},Erwin Rudolf Josef Alexander Schrödinger,"[[Vienna]], [[Austria-Hungary]]",,,,,,,,,Schrödinger in 1933,,,,{{Plain list|,,,,,,,,,,,,,{{Death date and age|1961|01|04|1887|08|12|df=yes}},"Vienna, Austria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erwin Schrödinger - Narodowe Archiwum Cyfrowe (1-E-939).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erwin Schrödinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[[Bernt Michael Holmboe]],,,,,"[[University of Oslo|Royal Frederick University]] (BA, 1822)",,,,,,,,,,,,,,,,{{birth date|1802|8|5|df=y}},,"[[Nedstrand]], Denmark–Norway",,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1829|4|6|1802|8|5|df=y}},"[[Froland]], Norway",,,,,,,,<!--no doctorate-->,<!--no doctorate-->,,,,,,,,,,[[Mathematics]],,,,,,,,,,,,,,,Niels Henrik Abel.jpg,,,,,,,,,,,,,[[Abel's binomial theorem]]<br/>[[Abelian category]]<br/>[[Abel equation]]<br/>[[Abel equation of the first kind]]<br/>[[Abelian extension]]<br/>[[Abel function]]<br/>[[Abelian group]]<br/>[[Abel's identity]]<br/>[[Abel's inequality]]<br/>[[Abel's irreducibility theorem]]<br/>[[Abel–Jacobi map]]<br/>[[Abel–Plana formula]]<br/>[[Abel–Ruffini theorem]]<br/>[[Abel sum|Abelian means]]<br/>[[Abel's summation formula]]<br/>[[Abelian and tauberian theorems]]<br/>[[Abel's test]]<br/>[[Abel's theorem]]<br/>[[Abel transform]]<br/>[[Abel transformation]]<br/>[[Abelian variety]]<br/>[[Abelian variety of CM-type]]<br/>[[Dual abelian variety]],,,,,,,,,,,,,,,,,Niels Henrik Abel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niels Henrik Abel signature.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1906|4|28}},Kurt Friedrich Gödel,"[[Brünn]], Austria-Hungary (now Brno, Czech Republic)",,,,,,,,,Gödel {{circa}} 1926,,,,{{ubl|Austria|Czechoslovakia|Germany|United States}},,,,,,,,,,,,[[Starvation]] due to a [[persecutory delusion]],{{death date and age|1978|1|14|1906|4|28}},"[[Princeton, New Jersey]], U.S.",,,,,,,,[[Hans Hahn (mathematician)|Hans Hahn]],,,"[[University of Vienna]] ([[Dr. Phil.]], 1930)",,,,,,,,"[[Mathematics]], [[mathematical logic]], [[physics]]",,,,,,,,,,,,,,,Kurt gödel.jpg,,,,,,,,,,,,,{{collapsible list,,,,,,,,,,,,,,,,,Kurt Gödel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Über die Vollständigkeit des Logikkalküls,"<!--prior link was to a review, not to the work itself-->",1929,{{nbsp}},,,,,,,,[[Institute for Advanced Study]],,,,
