alma_mater,alt,awards,birth_date,birth_name,birth_place,birthname,caption,children,citizenship,creed,death_cause,death_date,death_place,denomination,education,embed,era,ethnicity,expand_influenced,expand_influences,father,field,fields,footnotes,genre,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,ism,ism-ar,jurisprudence,known_for,kunya,kunya-ar,language,laqab,laqab-ar,lineage,maddhab,main_interests,major_works,module,module1,monuments,mother,movement,name,nasab,nasab-ar,nationality,native_name,native_name_lang,nisba,nisba-ar,nisbah,nisbah-ar,notable_ideas,notable_students,notable_works,notableworks,occupation,other names,other_names,partner,period,portaldisp,pronunciation,pseudonym,region,relatives,religion,residence,resting_place,school,school_tradition,signature,signature_alt,spouse,students,subject,teachers,title,website,workplaces,works,years_active
,,,11th century,,[[Seljuk Empire]],,13th-century manuscript of al-Khāzinī's Kitab Mīzān al-Hikmah depicting the eponymous balances,,,,,12th century,,,,,[[Islamic Golden Age]],,,,,,"[[Astronomy]], [[mathematics]], [[physics]], [[mechanics]], [[metallurgy]]",,,,,University of Pennsylvania MS Lawrence J. Schoenberg Collection 386 fol. 80v al-Khazini's Balance.jpg,,,,,,,,,,,,,,,,,,,,,,,al-Khazini,,,,,,,,,,}},,,,Scientist,,,,,,,,,,,,,,,,,,,,,,,,,
,,,944,Sulaymān ibn Ḥassān,"[[Córdoba, Andalusia|Cordoba]], [[Andalusia]], now [[Spain]]",,,,,,,994  (aged 50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibn Juljul,,,,,,,,,,,,,Tabqat-ul-Atiba wal-Hukama' <br> طبقات الأطباء والحكماء,"Muslim [[Physician]], [[Pharmacology|Pharmacologist]]",,,,,,,,,,,,,,,,,,,,,,,,,[[Wiktionary:circa|circa]] 960– 994 }}
,,,750 – 760 CE 133 AH – 143 AH,,,,,,,,,869 CE 255 AH,,[[Sunni]],,,[[Islamic golden age]],,,,,,,,,,,,,,,,,,"[[Hanafi]]<ref>Radtke, Bernd, and John O'kane. The Concept of Sainthood in Early Islamic Mysticism: Two Works by Al-Ḥakīm Al-Tirmidhī; an Annotated Translation with Introduction. Psychology Press, 1996. p.15</ref><ref>MASUD, MUHAMMAD KHALID. ""AL-ḤAKĪM AL-TIRMIḎH̱Ī'S BUDUWW S̱H̱A'N."" Islamic Studies 4.3 (1965): 315-343. ""Al-Hakim al-Tirmidhi, one of the most distinguished savants among the early mystics, is generally known as a muhaddith, a jurist of the Hanafite school of law and a Sufi.""</ref>",,,,,,,,,"[[Fiqh]], [[Hadith]], [[Sufism]], [[Kalam]]",,,,,,,Al-Ḥakīm al-Tirmidhī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'''Hakim at Tirmidhī''',,,"''Navodir Al-Usul fi Ma'rifat Akhbor Ar-Rasul'', and ''Khaqiyqat Al-Odamiyya'' }}",
,,,1203,,"[[Damascus]], [[Ayyubid Sultanate]]",,,,<!-- use only when necessary per [[WP:INFONAT]] -->,,,January 1270 (age 66),"[[Salkhad]], Ayyubid Sultanate<br />{{Small|(in modern Syria)}}",,,,,,,,,,,,[[Biography]],,,,,,,,,,,,,,[[Classical Arabic]],,,,,,,,,,,[[Islamic Golden Age]],Ibn Abi Usaybi'a,,,<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,,,,''Lives of the Physicians'',,[[physician]],,,<!-- or: | partners = -->,,"<!-- ""on"", ""yes"", ""true"", etc.; or omit --> }}",,,,,,,Salkhad,,,,,<!-- or: | spouses = -->,,<!-- or: | subjects = -->,,,<!-- {{URL|example.org}} -->,,,
,,,"986 (AH 376)<ref name=""Brill"">{{cite book |last1=Bosworth |first1=C.E. |last2=van Donzel |first2=E. |last3=Lewis |first3=B. |last4=Pellat |first4=Ch.|title=Encyclopaedia of Islam |volume=V (Khe-Mahi) |publisher=Brill |location=Leiden, Netherlands |date=1986 |isbn=9004057455 |page=526|edition=New }}</ref>",,,,,,,"[[Ash'ari]]<ref name=""Brill""/><ref name=""Spevack 2010 73""/>",,"30 December 1072 (AH 465)<ref name=""Brill""/>",,[[Sunni]],,,[[Islamic golden age]],,,,,,,,,,,,,,}},"[[Al-Shafi'i]]<br/>[[Abu Hasan al-Ash'ari]]<br/>[[Al-Hakim al-Nishapuri]]<br/>[[Ibn Furak]]<ref name=""Brill""/><br/>[[Abu Ishaq al-Isfara'ini]]<ref name=""Brill""/><br/>[[Al-Sulami]]",,,,,,,,,,,"[[Shafi'i]]<ref name=""Spevack 2010 73"">{{cite book|last=Spevack|first=Aaron|title=The Archetypal Sunni Scholar: Law, Theology, and Mysticism in the Synthesis of Al-Bajuri |publisher=State University of New York Press|date=2014|isbn=978-1438453712|page=73}}</ref>","[[Tasawwuf]], [[Islamic theology]], [[Fiqh]], [[Usul al-Fiqh]], [[Hadith studies|Hadith]], [[Tafsir]], [[arabic grammar|Grammar]]",,,,,,,,,,,,,,,,,,,,,"[[Muhaddith]], [[Tafsir|Mufassir]], [[Scholarly method|Scholar]], [[faqih|Muslim jurist]], [[kalam|Theologian]], [[Sufi]]",,,,,,,,,,[[Islam]],,,,,,,,,,,[[Shaykh al-Islām]],,,[[Al-Risala al-Qushayriyya]],
,,,{{circa|945}}/946 CE,,"[[Jerusalem]], [[Abbasid Caliphate]]",,,,,,,991 CE,[[Fatimid Caliphate]],,,,[[Islamic Golden Age]],,,,,,,,,,,,,,}},[[Abu Zayd al-Balkhi|Al-Balkhi]],,,,,,,,,,,,[[Islamic geography]],''The Best Divisions in the Knowledge of the Regions'',,,,,,Muḥammad ibn Aḥmad Shams al-Dīn Al-Maqdisī <br /> {{Nobold|{{lang|ar|مُحَمَّد ابْن أَحْمَد شَمْس ٱلدِّيْن ٱلْمَقْدِسِي}}}},,,,,,,,,,{{Unbulleted list}},,,,,,,,,,,,,,,,,,[[Abu Zayd al-Balkhi|Balkhi]] school,,,,,,,,,,,
,,,1003,,"[[Córdoba, Spain|Cordoba]], [[Caliphate of Córdoba]]",,Monument made for Ibn Zaydun,,,,,1071,"[[Seville]], [[Taifa of Seville]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibn Zaydun<br />ابن زيدون,,,,,,,,,,,,,,Poet,,,,[[Islamic Golden Age]],,,,,,,,,,,,,}},,,,,,,,
,,,9th century,,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",,The statue of al-Farghani in Cairo,,,,,9th century,Egypt }},,,,[[Islamic Golden Age]],,,,,,,,,,,CairoRodaAlfraganusMonument.jpg,,,"[[Christopher Columbus]], [[Nicolaus Copernicus]], [[Abu 'Ubayd al-Juzjani|Al-Jūzjānī]], [[al-Bīrūnī]], [[Al-Qabisi]]",[[Ptolemy]],,,,,,,,,,,,[[Astronomy]],"''The compendium ({{transliteration|ar|jawāmiʿ}}) of the Almagest'', Treatise on the Astrolabe",,,,,,Al-Farghānī,,,,أبو العبّاس أحمد بن محمد بن كثير الفرغاني,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1086 CE,al-Shahrastani,"Shahristān, [[Greater Khorasan|Khorasan]] (province of [[Persia]])",,,,,"[[Ash'ari]]<ref>{{cite book|author=John B. Henderson|title=The Construction of Orthodoxy and Heresy: Neo-Confucian, Islamic, Jewish, and Early Christian Patterns|url=https://books.google.com/books?id=FALN_kpyzEUC&pg=PA28|date=1998|publisher=[[SUNY Press]]|isbn=9780791437599|page=28}}</ref><ref>{{cite book|author=Israr Ahmad Khan, Hilman Latief, Maher Abu-Munshar, [[Khosrow Bagheri]] and Zohreh Khosravi|editor=Katherine Bullock|title=American Journal of Islamic Social Sciences 23:4|url=https://books.google.com/books?id=PpI4DwAAQBAJ&pg=PA36|date=2006|publisher=[[International Institute of Islamic Thought]] (IIIT)|page=36}}</ref>",,1153,"Shahristān, Khorasan",,,,[[Islamic Golden Age]],,,,,,,,,,,,,,[[Sayf al-Din al-Amidi]] }},[[Al-Juwayni]],,,[[Shafi'i]],,,,,,,,,"History, theology, [[Kalam]], philosophy, [[historiography]], [[Fiqh|Islamic jurisprudence]]",,,,,,,Tāj al-Dīn Abū al-Fath Muhammad ibn `Abd al-Karīm ash-Shahrastānī,,,,{{Nobold|{{lang|ar|تاج الدين أبو الفتح محمد بن عبد الكريم الشهرستاني}}}},,,,,,,,"''[[Al-Milal wa al-Nihal]]'', ''[[w:ar:نهاية الإقدام في علم الكلام (كتاب)|Nihayat al-Iqdam fi 'Ilm al-Kalam]]''",,,,,,,,,,"Shahristān, [[Greater Khorasan|Khorasan]]",,[[Islam]],,,,,,,,,,,"''Nā’ib'' (Deputy) of the chancellery for [[Ahmad Sanjar|Sanjar]], the [[Seljuk dynasty|Saljūq]] ruler of [[Greater Khorasan|Khurāsān]]",,,,
,,,{{AH|607|link=y}},,"[[Damascus]], [[Ayyubid Sultanate]]",,,,,"[[Ash'ari]]<ref>Al-Hassan, Ahmad Y., M. Ahmad, and A. Z. Iskandar. ""Factors behind the decline of Islamic science after the sixteenth century."" History of science and technology in Islam. Available via: http://www.history-science-technology.com/articles/articles%208.html {{Webarchive|url=https://web.archive.org/web/20150402150434/http://www.history-science-technology.com/articles/articles%208.html |date=2 April 2015 }} (2001).</ref>",,{{AH|687}},"[[Cairo]], [[Mamluk Sultanate]]",,,,[[Islamic Golden Age]],,,,,,,,,,,Ibn Al Nafis statue.jpg,,,[[Abu Hayyan Al Gharnati]] }},"[[Al-Ghazali]], [[Hippocrates]], [[Galen]], [[Hunayn Ibn Ishaq]], [[Avicenna]], [[al-Zahrawi]]",,,,,,,,,,,"[[Shafi'i school|Shafi'i]]<ref>{{cite journal|title=Ibn Al-Nafis: Discoverer of the Pulmonary Circulation|date=2007  |pmc=6077055 |quote=In addition to his medical studies, Ibn al-Nafis learnt Islamic religious law, and became a renowned expert on Shafi’i school of jurisprudence (Fiqh). He lectured at al-Masruriyya School in Cairo. His name was included in a book on “Great Classes of Shafi’i Scholars (Tabaqat al-Shafi’iyyin al-Kubra) by [[Taj al-Din al-Subki]] indicating his fame in religious law. |last1=Amr |first1=S. S. |last2=Tbakhi |first2=A. |journal=Annals of Saudi Medicine |volume=27 |issue=5 |pages=385–387 |doi=10.5144/0256-4947.2007.385 |pmid=17921693 }}</ref>",{{hlist|[[medicine]]|[[surgery]]|[[physiology]]|[[anatomy]]|[[biology]]|[[Islamic studies]]|[[jurisprudence]]|[[philosophy]]}},,,,,,,Ibn al-Nafis,,,,,,,,,,,,,,,,,,,,,,[[Syria]] and [[Egypt]],,[[Islam]],,,,,,,,,,,,,,"''[[Sharh al-'Aqa'id al-Nasafiyya|Al-Durra Sharh 'Aqa'id al-Nasafi (Arabic: الدرة شرح عقائد النسفي)]]'',<ref>{{cite book|author=Group of scholars|editor=Ahmad Farid al-Mazidi|title=شروح وحواشي العقائد النسفية لأهل السنة والجماعة (الأشاعرة والماتريدية)|url=https://books.google.com/books?id=lpZLDwAAQBAJ&pg=PT15|date=2013|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745147851|page=16}}</ref><ref>{{cite book|author=[[Kamal al-Din ibn Abi Sharif]]|editor=Muhammad al-'Azazi|title=الفرائد في حل شرح العقائد وهو حاشية ابن أبي شريف على شرح العقائد للتفتازاني|url=https://books.google.com/books?id=FfpHDwAAQBAJ&pg=PT5|date=2017|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745189509|page=4}}</ref> ''Commentary on Anatomy in Avicenna's Canon''",
,,,{{AH|607|link=y}},,"[[Damascus]], [[Ayyubid Sultanate]]",,,,,"[[Ash'ari]]<ref>Al-Hassan, Ahmad Y., M. Ahmad, and A. Z. Iskandar. ""Factors behind the decline of Islamic science after the sixteenth century."" History of science and technology in Islam. Available via: http://www.history-science-technology.com/articles/articles%208.html {{Webarchive|url=https://web.archive.org/web/20150402150434/http://www.history-science-technology.com/articles/articles%208.html |date=2 April 2015 }} (2001).</ref>",,{{AH|687}},"[[Cairo]], [[Mamluk Sultanate]]",,,,[[Islamic Golden Age]],,,,,,,,,,,Ibn Al Nafis statue.jpg,,,[[Abu Hayyan Al Gharnati]] }},"[[Al-Ghazali]], [[Hippocrates]], [[Galen]], [[Hunayn Ibn Ishaq]], [[Avicenna]], [[al-Zahrawi]]",,,,,,,,,,,"[[Shafi'i school|Shafi'i]]<ref>{{cite journal|title=Ibn Al-Nafis: Discoverer of the Pulmonary Circulation|date=2007  |pmc=6077055 |quote=In addition to his medical studies, Ibn al-Nafis learnt Islamic religious law, and became a renowned expert on Shafi’i school of jurisprudence (Fiqh). He lectured at al-Masruriyya School in Cairo. His name was included in a book on “Great Classes of Shafi’i Scholars (Tabaqat al-Shafi’iyyin al-Kubra) by [[Taj al-Din al-Subki]] indicating his fame in religious law. |last1=Amr |first1=S. S. |last2=Tbakhi |first2=A. |journal=Annals of Saudi Medicine |volume=27 |issue=5 |pages=385–387 |doi=10.5144/0256-4947.2007.385 |pmid=17921693 }}</ref>",{{hlist|[[medicine]]|[[surgery]]|[[physiology]]|[[anatomy]]|[[biology]]|[[Islamic studies]]|[[jurisprudence]]|[[philosophy]]}},,,,,,,Ibn al-Nafis,,,,,,,,,,,,,,,,,,,,,,[[Syria]] and [[Egypt]],,[[Islam]],,,,,,,,,,,,,,"''[[Sharh al-'Aqa'id al-Nasafiyya|Al-Durra Sharh 'Aqa'id al-Nasafi (Arabic: الدرة شرح عقائد النسفي)]]'',<ref>{{cite book|author=Group of scholars|editor=Ahmad Farid al-Mazidi|title=شروح وحواشي العقائد النسفية لأهل السنة والجماعة (الأشاعرة والماتريدية)|url=https://books.google.com/books?id=lpZLDwAAQBAJ&pg=PT15|date=2013|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745147851|page=16}}</ref><ref>{{cite book|author=[[Kamal al-Din ibn Abi Sharif]]|editor=Muhammad al-'Azazi|title=الفرائد في حل شرح العقائد وهو حاشية ابن أبي شريف على شرح العقائد للتفتازاني|url=https://books.google.com/books?id=FfpHDwAAQBAJ&pg=PT5|date=2017|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745189509|page=4}}</ref> ''Commentary on Anatomy in Avicenna's Canon''",
,Chest-length metal statue of bearded man in robes and turban holding a book and a cubic model.,,{{circa|780}},,,,"Statue in [[Madrid]], erected in 2020<ref>{{Cite news |date=November 26, 2020 |title=Monument to Muhammad al-Khwarizmi erected in Madrid |url=https://uza.uz/en/posts/monument-to-muhammad-al-khwarizmi-erected-in-madrid_189785 |url-status=live |archive-url=https://web.archive.org/web/20201126104717/https://uza.uz/en/posts/monument-to-muhammad-al-khwarizmi-erected-in-madrid_189785 |archive-date=November 26, 2020 |access-date=March 16, 2025 |work=[[Uzbekistan National News Agency]]}}</ref>",,,,,"{{circa|850|lk=no}}<ref>{{cite book |last1=Toomer |first1=Gerald J. |author1-link=Gerald J. Toomer |editor1-last=Gillispie |editor1-first=Charles Coulston |title=Dictionary of Scientific Biography |date=1970–1980 |isbn=978-0-684-16966-8|volume=VII |pages=358–365 |chapter=al-Khuwārizmī, Abu Ja'far Muḥammad ibn Mūsā|publisher=Scribner }}</ref><ref>{{cite book |last1=Vernet |first1=Juan |editor1-last=Gibb |editor1-first=H. A. R. |editor2-last=Kramers |editor2-first=J. H. |editor3-last=Lévi-Provençal |editor3-first=E. |editor4-last=Schacht |editor4-first=J. |title=The Encyclopaedia of Islam |date=1960–2005 |publisher=Brill |location=Leiden|volume=IV |pages=1070–1071 |edition=2nd |chapter=Al-Khwārizmī|oclc=399624}}</ref>",,,,,[[Islamic Golden Age]],,,,,,,,,,,"Madrid - Ciudad Universitaria, Monumento a Muhammad al-Juarismi (cropped).jpg",,,"[[Abu Kamil]] of Egypt,<ref name=MacTutor-AK>O'Connor, John J.; Robertson, Edmund F., [http://www-history.mcs.st-andrews.ac.uk/Biographies/Abu_Kamil.html ""Abū Kāmil Shujā' ibn Aslam""] {{Webarchive|url=https://web.archive.org/web/20131211214159/http://www-history.mcs.st-andrews.ac.uk/Biographies/Abu_Kamil.html |date=11 December 2013 }}, MacTutor History of Mathematics archive, University of St Andrews.</ref> [[Nicolo Tartaglia]]",,,,,,,,,,,,,{{hlist|[[Mathematics in the medieval Islamic world|Mathematics]]|[[Astronomy in the medieval Islamic world|astronomy]]|[[Geography and cartography in the medieval Islamic world|geography]]}},{{ubl|''[[Al-Jabr]]'' (820)|''[[Zij as-Sindhind]]'' (820)|''[[Geography (Ptolemy)|Kitab Surat al-Ard]]'' (833)}},,,,,,Muḥammad ibn Mūsā al-Khwārizmī,,,,{{nobold|{{lang|ar|{{Script|Arab|محمد بن موسى الخوارزميّ}}|rtl=yes}}}},,,,,,Treatises on [[algebra]] and the [[Hindu–Arabic numeral system]],,,,[[House of Wisdom]] in [[Baghdad]] (appt.&nbsp;{{circa|820|lk=no}}) }},,,,,,,,,,,,,,,,,,,,,,,,,
,,,c.  510 AH/1116 CE,,"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",Abd al-Rahman ibn Ali Al-Jawzi Al-Bakri,,Yusuf ibn Abd al-Rahman Al-Jawzi,,"[[Ash'ari]]<ref>{{cite book|author=[[J. A. Boyle]]|title=The Cambridge History of Iran|url=https://books.google.com/books?id=16yHq5v3QZAC|volume=5 of The Saljuq and Mongol Periods|publisher=[[Cambridge University Press]]|date=1968|page=299|isbn=9780521069366|quote=""''Talbis Iblis'', by the Ash'ari theologian Ibn al-Jawzi, contains strong attacks on the Sufis, though the author makes a distinction between an older purer Sufism and the ""modern"" one,""}}</ref><ref>{{cite book|author=[[Gibril Fouad Haddad]]|title=The Biographies of the Elite Lives of the Scholars, Imams & Hadith Masters|url=https://books.google.com/books?id=RwPnCAAAQBAJ&pg=PA226|date=2015|publisher=[[As-Sunnah Foundation of America]]|page=226|quote=Abu al-Faraj bin al-Jawzi al-Qurashi [[Banu Taym|al-Taymi]] [[Abu Bakr|al-Bakri]] al-Baghdadi al-Hanbali [[Ash'arism|al-Ashari]] (509/510-597AH).}}</ref><ref name=""Ibn al-Ahdal"">{{cite book|author=[[Ibn al-Ahdal]]|editor=Ahmad Bakīr Mahmud|url=https://archive.org/download/kalam-misc/kashful-ghitaa.pdf|title=Kashf al-Ghata' 'an Haqa'iq al-Tawhid|script-title=ar:كشف الغطاء عن حقائق التوحيد|language=ar|location=[[Tunisia]]|publisher=[[Tunisian General Labour Union]]|year=1964|page=83|quote=وكل هؤلاء الذين ذكرنا عقائدهم من أئمة الشافعية سوى القرشي والشاذلي فمالكيان أشعريان. ولنتبع ذلك بعقيدة المالكية وعقيدتين للحنفية ليعلم أن غالب أهل هذين المذهبين على مذهب الأشعري في العقائد، '''وبعض الحنبلية في الفروع يكونون على مذهب الأشعري في العقائد كالشيخ عبد القادر الجيلاني وابن الجوزي وغيرهما رضي الله عنهم.''' وقد تقدم وسيأتي أيضاً أن الأشعري والإمام أحمد كانا في الاعتقاد متفقين حتى حدث الخلاف من أتباعه القائلين بالحرف والصوت والجهة وغير ذلك فلهذا لم نذكر عقائد المخالفين واقتصرنا على عقائد أصحابنا الأشعرية ومن وافقهم من المالكية والحنفية رضي الله عنهم. فأما عقيدة المالكية فهي تأليف الشيخ الإمام الكبير الشهير أبي محمد عبد الله بن أبي زيد المالكي ذكرها في صدر كتابه الرسالة}}</ref>",,12 Ramadan 597 AH/16 June 1201 (aged approximately 87),"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",[[Sunni]],,,[[Islamic Golden Age]],,,,Ali ibn Muhammad Al-Jawzi,,,,,,,,,,"<small>[[Abd al-Ghani al-Maqdisi]], d 600 AH<ref name=""sahwah"" /><br />[[Sibt ibn al-Jawzi]], d 654 AH<ref name=""Robinson:2003:XV"">Robinson:2003:XV</ref><br /> [[Ibn Qudama al-Maqdisi]]<ref name=""sahwah"" /><br />[[Diya al-Din al-Maqdisi]]<ref name=""Ibn Al-Jawzi"">{{cite web |url=http://www.sunnah.org/history/Scholars/ibn_aljawzi.htm |title=Ibn Al-Jawzi |publisher=Sunnah.org |access-date=2013-11-28 |archive-date=2020-02-22 |archive-url=https://web.archive.org/web/20200222230613/http://www.sunnah.org/history/Scholars/ibn_aljawzi.htm |url-status=dead }}</ref></small>",,,,[[Hanbali]],,,,,,,[[Qasim ibn Muhammad ibn Abi Bakr|Al-Bakri]] }},,"[[History]], [[Tafsir]], [[Hadith]], [[Fiqh]]",,,,,,,Ibn al-Jawzi,,,,,,,,,,,,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,"[[Shaykh al-Islam]]<ref>Al-Dhahabi, Siyar A'lam al-Nubala'.</ref>",,,{{transliteration|ar|[[Kitab Akhbar al-Sifat]]}},
,,,~320 H (~932 CE),,"[[Baghdad]], Abbasid Caliphate",,,,,"[[Mu'tazila]]<ref name=""brill""/>",,"~385 H (~995 CE)<ref name=""brill"">{{EI2|last=Fück |first=J.W. |title=Ibn Al-Nadīm |doi=10.1163/1573-3912_islam_SIM_3317}}</ref>","[[Baghdad]], Abbasid Caliphate","[[Shia Islam|Shia]]<ref name=""brill""/>",,,[[Medieval philosophy|Medieval period]] <br>([[Abbasid dynasty|Later Abbasid era]]),,,,,,,,,,,,,,,,,,,,,,,,,,,"[[History]], [[Arabic literature]]",,{{Infobox religious biography|embed = yes,,,,,Ibn an-Nadīm,,,,,,,,,,,,[[Al-Fihrist|Kitāb al-Fihrist]],,"Bibliographer, Historian }}",,,,,,,,,,[[Islam]],,,,"[[Aristotelianism]]<ref name=""brill""/>",,,,,,,,,,,
,,,{{AH|607|link=y}},,"[[Damascus]], [[Ayyubid Sultanate]]",,,,,"[[Ash'ari]]<ref>Al-Hassan, Ahmad Y., M. Ahmad, and A. Z. Iskandar. ""Factors behind the decline of Islamic science after the sixteenth century."" History of science and technology in Islam. Available via: http://www.history-science-technology.com/articles/articles%208.html {{Webarchive|url=https://web.archive.org/web/20150402150434/http://www.history-science-technology.com/articles/articles%208.html |date=2 April 2015 }} (2001).</ref>",,{{AH|687}},"[[Cairo]], [[Mamluk Sultanate]]",,,,[[Islamic Golden Age]],,,,,,,,,,,Ibn Al Nafis statue.jpg,,,[[Abu Hayyan Al Gharnati]] }},"[[Al-Ghazali]], [[Hippocrates]], [[Galen]], [[Hunayn Ibn Ishaq]], [[Avicenna]], [[al-Zahrawi]]",,,,,,,,,,,"[[Shafi'i school|Shafi'i]]<ref>{{cite journal|title=Ibn Al-Nafis: Discoverer of the Pulmonary Circulation|date=2007  |pmc=6077055 |quote=In addition to his medical studies, Ibn al-Nafis learnt Islamic religious law, and became a renowned expert on Shafi’i school of jurisprudence (Fiqh). He lectured at al-Masruriyya School in Cairo. His name was included in a book on “Great Classes of Shafi’i Scholars (Tabaqat al-Shafi’iyyin al-Kubra) by [[Taj al-Din al-Subki]] indicating his fame in religious law. |last1=Amr |first1=S. S. |last2=Tbakhi |first2=A. |journal=Annals of Saudi Medicine |volume=27 |issue=5 |pages=385–387 |doi=10.5144/0256-4947.2007.385 |pmid=17921693 }}</ref>",{{hlist|[[medicine]]|[[surgery]]|[[physiology]]|[[anatomy]]|[[biology]]|[[Islamic studies]]|[[jurisprudence]]|[[philosophy]]}},,,,,,,Ibn al-Nafis,,,,,,,,,,,,,,,,,,,,,,[[Syria]] and [[Egypt]],,[[Islam]],,,,,,,,,,,,,,"''[[Sharh al-'Aqa'id al-Nasafiyya|Al-Durra Sharh 'Aqa'id al-Nasafi (Arabic: الدرة شرح عقائد النسفي)]]'',<ref>{{cite book|author=Group of scholars|editor=Ahmad Farid al-Mazidi|title=شروح وحواشي العقائد النسفية لأهل السنة والجماعة (الأشاعرة والماتريدية)|url=https://books.google.com/books?id=lpZLDwAAQBAJ&pg=PT15|date=2013|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745147851|page=16}}</ref><ref>{{cite book|author=[[Kamal al-Din ibn Abi Sharif]]|editor=Muhammad al-'Azazi|title=الفرائد في حل شرح العقائد وهو حاشية ابن أبي شريف على شرح العقائد للتفتازاني|url=https://books.google.com/books?id=FfpHDwAAQBAJ&pg=PT5|date=2017|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745189509|page=4}}</ref> ''Commentary on Anatomy in Avicenna's Canon''",
,,,{{circa|870}},,"[[Faryab Province|Faryab]], [[Greater Khorasan|Khorasan]] or <br/>[[Farab]], [[Transoxiana]]{{efn-ua|name=Faryab—Farab}}",,Portrait of Al-Farabi—Alpharabius{{efn-ua|name=Portrait}},,,,,{{circa|950}},[[Damascus]],,,,[[Islamic Golden Age]],,,,,,,,,,,Alpharabius in Liber Chronicarum 1493 AD.png,,,,,,,,,,,,,,,,[[Islamic philosophy#Political philosophy|Political Philosophy]] · [[Islamic philosophy#Philosophy of religion|Philosophy of Religion]] · [[Physics in the medieval Islamic world|Physics]] · [[Islamic metaphysics|Metaphysics]] · [[Logic in Islamic philosophy|Logic]] · [[Psychology in the medieval Islamic world|Psychology]] · [[Islamic philosophy#Epistemology|Epistemology]] · [[Islamic ethics|Ethics]] · [[History of lute-family instruments#Thinkers and polymaths of Central Asia and Arabia|Music Theory]],,,,,,,Abu Nasr Farabi,,,,,,,,,,"Father of [[Platonism in Islamic philosophy|Islamic Neoplatonism]], Founder of [[Islamic philosophy#Political philosophy|Islamic Political Philosophy]]",,"''[[Kitab al-Musiqi al-Kabir]]'' (""Grand Book of Music""),{{efn-ua|name=Music}} ''Ara Ahl al-Madina al-Fadila'' (""Virtuous City""),{{efn-ua|name=Virtuous}} ''Kitab Ihsa al-Ulum'' (""Enumeration of the Sciences""),{{efn-ua|name=Enumeration}} ''Risalah fi'l-Aql'' (Epistle on the Intellect){{efn-ua|name=Aql}} }}",,,,Second Master{{efn-ua|name=Title}},,,,,,[[Islamic philosophy]],,,,,,[[Aristotelianism]] · [[Platonism in Islamic Philosophy|Neoplatonism]],,,,,,,,,,,
